Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Hook Island",2021,2.0,1U,21.983940322580647,28.04245771329365,25.207488968742975,25.41912171632318,1U
"Shute and Tancred Islands",1997,2.0,1U,22.45358420698925,29.00185504032257,26.388186313702615,27.160259026657705,1U
"Shute and Tancred Islands",1999,2.0,2L,22.45358420698925,29.00185504032257,26.388186313702615,27.160259026657705,2L
"Shute and Tancred Islands",2000,2.0,2L,22.45358420698925,29.00185504032257,26.388186313702615,27.160259026657705,2L
"Shute and Tancred Islands",2001,2.0,2L,22.45358420698925,29.00185504032257,26.388186313702615,27.160259026657705,2L
"Shute and Tancred Islands",2003,2.0,1U,22.45358420698925,29.00185504032257,26.388186313702615,27.160259026657705,1U
"Shute and Tancred Islands",2004,2.0,2L,22.45358420698925,29.00185504032257,26.388186313702615,27.160259026657705,1U
"Shute and Tancred Islands",2013,2.0,1U,22.36952305107527,29.27105843253968,26.142438990458228,26.087907869027305,1U
"Shute and Tancred Islands",2017,2.0,2L,22.358020208333333,29.27105843253968,25.74526750308625,26.030144684139785,2L
"Shute and Tancred Islands",2021,2.0,1U,21.14469657258064,29.777313266283524,25.514852822259883,25.539387430928915,1U
"Pelican Island",2006,2.0,2L,19.18862829301075,27.905931968390806,24.29193014001707,24.57525148969534,2L
"Pelican Island",2008,2.0,2L,19.18862829301075,27.905931968390806,24.230282567768636,24.57525148969534,2L
"Pelican Island",2010,2.0,2L,19.98178373655914,27.63677872023809,24.189048606067953,24.886966191756272,2L
"Pelican Island",2012,2.0,2L,19.98178373655914,27.63677872023809,24.189048606067953,24.886966191756272,2L
"Pelican Island",2014,2.0,2L,19.98178373655914,27.63677872023809,24.189048606067953,24.886966191756272,2L
"Pelican Island",2020,2.0,3L,19.410098947132617,29.64963934386973,24.469928380831234,25.055486801821985,3L
"Pelican Island",2021,2.0,2U,19.410098947132617,27.687151859318995,24.237883179207742,24.624587577284945,3L
"Lady Elliot Reef",1997,2.0,2L,21.347380443548385,31.134497849462367,27.218706798515232,27.87986439292115,2L
"Lady Elliot Reef",1998,2.0,2U,21.347380443548385,31.134497849462367,27.218706798515232,27.87986439292115,2L
"Lady Elliot Reef",2000,2.0,1L,21.347380443548385,31.134497849462367,27.218706798515232,27.87986439292115,1L
"Lady Elliot Reef",2001,2.0,1L,21.347380443548385,31.134497849462367,27.218706798515232,27.87986439292115,1L
"Lady Elliot Reef",2003,2.0,1L,21.347380443548385,31.134497849462367,27.218706798515232,27.87986439292115,1L
"Lady Elliot Reef",2007,2.0,1L,21.347380443548385,31.134497849462367,27.54110399821589,28.012717450716845,1L
"Havannah Island",1997,2.0,3U,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,3U
"Havannah Island",1998,2.0,2L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,3U
"Havannah Island",1999,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,2L
"Havannah Island",2000,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1L
"Havannah Island",2001,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1L
"Havannah Island",2002,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1L
"Havannah Island",2003,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1L
"Havannah Island",2005,2.0,1U,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1U
"Havannah Island",2006,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1U
"Havannah Island",2007,2.0,1L,21.41950659824047,30.61002204301076,26.917253402778954,27.444520048163085,1L
"Havannah Island",2008,2.0,1U,22.21274287634409,30.61002204301076,26.820770172034003,27.318617057571686,1L
"Havannah Island",2009,2.0,1L,22.24414023297491,29.6000494623656,26.554707959844492,26.78276601627838,1U
"Havannah Island",2011,2.0,1L,22.24414023297491,29.612200067204306,26.380530102887306,26.984165904271208,1L
"Havannah Island",2013,2.0,1L,22.24414023297491,29.612200067204306,26.380530102887306,26.984165904271208,1L
"Havannah Island",2017,2.0,2U,22.73187868055556,29.076775627240146,26.210983229369806,26.73748970355436,2U
"North Bay",1997,2.0,2L,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,2L
"North Bay",1998,2.0,2U,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,2L
"North Bay",1999,2.0,3U,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,2U
"North Bay",2000,2.0,4L,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,3U
"North Bay",2001,2.0,3U,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,4L
"North Bay",2002,2.0,4L,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,3U
"North Bay",2003,2.0,4L,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,4L
"North Bay",2004,2.0,4L,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,4L
"North Bay",2005,2.0,3U,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,4L
"North Bay",2006,2.0,3U,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,3U
"North Bay",2007,2.0,4L,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,3U
"North Bay",2009,2.0,2U,18.676567517921143,25.60489970878136,21.793245897239014,21.277144306675627,2U
"North Bay",2010,2.0,1U,18.81461655465949,25.60489970878136,21.964665303842235,21.485685509231764,2U
"North Bay",2012,2.0,1U,18.29096738351254,24.69324408524904,21.072416538656633,20.891636733497613,1U
"North Bay",2013,2.0,1U,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,1U
"North Bay",2014,2.0,2L,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,1U
"North Bay",2016,2.0,3L,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,3L
"North Bay",2017,2.0,3L,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,3L
"North Bay",2018,2.0,3L,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,3L
"North Bay",2019,2.0,3U,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,3L
"North Bay",2020,2.0,3U,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,3U
"North Bay",2021,2.0,4L,18.29096738351254,24.457344780465952,21.21656605507233,21.60887219280921,3U
"Lizard Island",1997,2.0,1U,24.76688172043011,29.78267857142857,27.36915284436475,27.962730062724013,1U
"Lizard Island",1998,2.0,1L,24.76688172043011,29.78267857142857,27.376482576943044,27.962730062724013,1U
"Lizard Island",1999,2.0,1U,23.249260752688173,29.31225694444444,26.4345029295402,26.748645475106763,1L
"Lizard Island",2000,2.0,2L,23.61403765971756,29.03958371877891,26.584939967010158,26.470540701611313,1U
"Lizard Island",2001,2.0,1U,23.61403765971756,29.509918898809527,26.594116223908397,26.470540701611313,2L
"Lizard Island",2002,2.0,1U,23.61403765971756,29.509918898809527,26.594116223908397,26.470540701611313,1U
"Lizard Island",2003,2.0,1U,24.149576612903225,29.509918898809527,26.677294657317447,26.39321621863799,1U
"Lizard Island",2004,2.0,1L,23.360102150537635,29.5769992816092,26.385341674005073,26.310421292562722,1U
"Lizard Island",2005,2.0,2L,23.30081633064517,28.99702931034483,26.502922010888316,26.47632198140681,1L
"Lizard Island",2006,2.0,1U,23.30081633064517,28.99702931034483,26.53005049701071,26.47632198140681,2L
"Lizard Island",2007,2.0,2L,23.30081633064517,28.99702931034483,26.53005049701071,26.47632198140681,1U
"Lizard Island",2008,2.0,2L,23.339315255376345,29.43698212365592,26.40041207650991,26.199646088709677,2L
"Lizard Island",2009,2.0,2L,24.37411969086022,29.480224193548388,26.859843297758346,26.530936498499624,2L
"Lizard Island",2010,2.0,2L,25.46994847670251,29.96172619047619,27.615061275721686,27.684829432870373,2L
"Lizard Island",2011,2.0,2L,23.146109923835127,29.548561715949823,26.714846786140978,27.095585546968337,2L
"Lizard Island",2013,2.0,2L,24.37345578703704,30.109747491039425,27.176524621063717,27.340098741039426,2L
"Lizard Island",2015,2.0,1L,24.37345578703704,30.109747491039425,27.176524621063717,27.340098741039426,1L
"Lizard Island",2017,2.0,1L,24.37345578703704,30.109747491039425,27.033666910486716,26.931643436753284,1L
"Lizard Island",2019,2.0,1L,23.284681354540027,28.84923352001195,26.237896802756854,26.35060626095181,1L
"Lizard Island",2021,2.0,2L,24.770400731780164,29.47002772550777,26.96675882255363,26.782768293135206,2L
"One Tree Island",1997,2.0,2U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,2U
"One Tree Island",1998,2.0,2U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,2U
"One Tree Island",1999,2.0,3U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,2U
"One Tree Island",2000,2.0,3U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3U
"One Tree Island",2001,2.0,3L,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3U
"One Tree Island",2002,2.0,3U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3L
"One Tree Island",2003,2.0,3U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3U
"One Tree Island",2004,2.0,3U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3U
"One Tree Island",2005,2.0,3L,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3U
"One Tree Island",2007,2.0,3L,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,3L
"One Tree Island",2009,2.0,2U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,2U
"One Tree Island",2011,2.0,1U,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,1U
"One Tree Island",2013,2.0,2L,21.532865983422937,26.55815309139785,24.23841652808164,24.35892341379182,2L
"One Tree Island",2017,2.0,3L,22.53778966173835,27.730463832885302,24.69171404841667,24.331936335498803,3L
"One Tree Island",2019,2.0,3U,21.47977034050179,27.121525272817458,24.302565947577122,24.18202606444146,3U
"One Tree Island",2021,2.0,4L,21.284724529569893,26.86355728046595,24.288508032232226,24.415922227822584,4L
"Chinaman Reef",1997,2.0,2U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2U
"Chinaman Reef",1998,2.0,3L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2U
"Chinaman Reef",1999,2.0,3U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,3L
"Chinaman Reef",2000,2.0,3L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,3U
"Chinaman Reef",2001,2.0,2L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,3L
"Chinaman Reef",2002,2.0,1U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2L
"Chinaman Reef",2003,2.0,1L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,1U
"Chinaman Reef",2004,2.0,1L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,1L
"Chinaman Reef",2005,2.0,2L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,1L
"Chinaman Reef",2006,2.0,2L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2L
"Chinaman Reef",2008,2.0,2L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2L
"Chinaman Reef",2009,2.0,2U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2L
"Chinaman Reef",2010,2.0,2L,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2U
"Chinaman Reef",2011,2.0,2U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2L
"Chinaman Reef",2012,2.0,2U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2U
"Chinaman Reef",2013,2.0,2U,22.57606308243728,27.29922802419355,25.144819870349625,25.359107835648146,2U
"Chinaman Reef",2014,2.0,3L,22.364816203703704,27.29922802419355,25.030610413702032,25.215408680555555,2U
"Chinaman Reef",2015,2.0,4L,22.20556680107527,27.904841548583,25.25155022242345,25.357305853494623,3L
"Chinaman Reef",2016,2.0,3L,22.54627809139785,27.50264154614778,25.14580652012694,25.34186467816607,4L
"Chinaman Reef",2017,2.0,3U,22.54627809139785,27.50264154614778,25.126186272376614,25.34186467816607,3L
"Chinaman Reef",2018,2.0,1U,22.54627809139785,27.50264154614778,25.126186272376614,25.34186467816607,3U
"Chinaman Reef",2019,2.0,1L,22.33431863799284,27.42198216845878,24.969411563715067,25.06341550141876,1U
"Chinaman Reef",2020,2.0,1L,22.163480958781363,28.7055557710728,25.29515807359472,25.350264413082435,1L
"Chinaman Reef",2021,2.0,2L,22.569996639784947,27.597448655913983,25.276244309934015,25.499894700567502,1L
"Warraber Island",2020,2.0,1L,25.60354943996416,30.510164359319,28.00617663835803,28.044755015307643,1L
"Warraber Island",2021,2.0,1L,26.132463078703704,30.2141002293578,28.114428438158637,28.41494792466718,1L
"Woiz Reef",2021,2.0,1U,26.17395907407408,30.21880179211469,28.146845581561664,28.389673039474527,1U
"Gnaraloo Bay",1998,2.0,2U,21.12204106182796,27.633597670250897,24.202036221363333,24.026073622801512,2U
"Gnaraloo Bay",2001,2.0,2U,21.12204106182796,27.633597670250897,24.202036221363333,24.026073622801512,2U
"Gnaraloo Bay",2013,2.0,3L,21.08944250672043,27.98307183779762,24.08646216470495,24.146470847894264,3L
"19-131 Reef",1997,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",1998,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",1999,2.0,1U,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2000,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,1U
"19-131 Reef",2001,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2002,2.0,2U,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2003,2.0,1U,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2U
"19-131 Reef",2004,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,1U
"19-131 Reef",2005,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2006,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2007,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2009,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2010,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2011,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2013,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2015,2.0,2L,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2L
"19-131 Reef",2017,2.0,2U,23.564122647849462,28.857660685483868,25.991416417646594,25.734768551747315,2U
"19-131 Reef",2019,2.0,2L,22.564616599462365,27.484791397849463,25.246690763939156,25.825714790173237,2L
"19-131 Reef",2021,2.0,2L,22.92520103046595,28.428451433691755,25.896175441156007,26.053269796520315,2L
"St Crispin Reef",1997,2.0,2U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2U
"St Crispin Reef",1998,2.0,2U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2U
"St Crispin Reef",1999,2.0,2L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2U
"St Crispin Reef",2000,2.0,3L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2L
"St Crispin Reef",2001,2.0,3L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,3L
"St Crispin Reef",2002,2.0,3L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,3L
"St Crispin Reef",2003,2.0,2L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,3L
"St Crispin Reef",2004,2.0,2U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2L
"St Crispin Reef",2005,2.0,3L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2U
"St Crispin Reef",2006,2.0,2L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,3L
"St Crispin Reef",2007,2.0,2U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2L
"St Crispin Reef",2008,2.0,2L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2U
"St Crispin Reef",2009,2.0,2L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2L
"St Crispin Reef",2010,2.0,2U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2L
"St Crispin Reef",2011,2.0,2L,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2U
"St Crispin Reef",2012,2.0,1U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,2L
"St Crispin Reef",2013,2.0,1U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,1U
"St Crispin Reef",2014,2.0,1U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,1U
"St Crispin Reef",2015,2.0,1U,24.50227137096774,29.847143127394634,26.77609792357556,26.710404075567503,1U
"St Crispin Reef",2016,2.0,2L,25.09176196236559,29.847143127394634,27.45242299137796,27.508136910468938,1U
"St Crispin Reef",2017,2.0,1U,24.396477710573475,29.05358224206349,26.70045398036713,26.689056556526285,2L
"St Crispin Reef",2018,2.0,2L,24.396477710573475,29.05358224206349,26.697775177691373,26.689056556526285,1U
"St Crispin Reef",2019,2.0,2L,23.775091957885305,29.10665258554155,26.54540444960111,26.75793604755009,2L
"St Crispin Reef",2020,2.0,2U,24.94276413530466,29.642748156130267,27.07654270750508,26.922003856033452,2L
"St Crispin Reef",2021,2.0,3L,24.94276413530466,29.642748156130267,27.128049044416972,26.922003856033452,2U
"Feather Reef",1997,2.0,2L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2L
"Feather Reef",1998,2.0,2L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2L
"Feather Reef",1999,2.0,2L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2L
"Feather Reef",2000,2.0,1U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2L
"Feather Reef",2001,2.0,1L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1U
"Feather Reef",2002,2.0,1L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1L
"Feather Reef",2003,2.0,1L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1L
"Feather Reef",2004,2.0,1U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1L
"Feather Reef",2005,2.0,1U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1U
"Feather Reef",2006,2.0,1U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1U
"Feather Reef",2007,2.0,1L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1U
"Feather Reef",2008,2.0,1L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1L
"Feather Reef",2009,2.0,1U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1L
"Feather Reef",2012,2.0,1U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,1U
"Feather Reef",2014,2.0,2L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2L
"Feather Reef",2015,2.0,2U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2L
"Feather Reef",2016,2.0,2U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2U
"Feather Reef",2017,2.0,2U,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2U
"Feather Reef",2018,2.0,1L,23.75294852150537,29.0731098265896,26.460746069467394,26.7953276291816,2U
"Feather Reef",2019,2.0,1L,22.96031686827957,28.898580803571427,26.09919524586462,26.37594010528674,1L
"Feather Reef",2020,2.0,1L,23.81397302867384,29.917725669642856,26.788870370170358,26.808805682123655,1L
"Feather Reef",2021,2.0,1U,24.33459641577061,29.316320362903227,26.81819568115915,27.145154670325567,1L
"Grub Reef",2002,2.0,2L,23.003011895161293,28.355028539426524,25.93225020949173,26.07315882840502,2L
"Grub Reef",2003,2.0,1U,23.003011895161293,28.355028539426524,25.93225020949173,26.07315882840502,2L
"Grub Reef",2006,2.0,1L,23.003011895161293,28.355028539426524,25.93225020949173,26.07315882840502,1L
"Grub Reef",2008,2.0,1U,23.003011895161293,28.355028539426524,25.93225020949173,26.07315882840502,1U
"Grub Reef",2012,2.0,1L,23.003011895161293,28.355028539426524,25.93225020949173,26.07315882840502,1L
"Grub Reef",2014,2.0,1L,23.77353472222222,28.372112275985664,26.12934100010582,26.366965533527477,1L
"Grub Reef",2016,2.0,1U,23.77353472222222,28.3212867311508,26.16177859099558,26.281124429651356,1U
"Grub Reef",2018,2.0,1U,23.77353472222222,28.3212867311508,26.16177859099558,26.281124429651356,1U
"Grub Reef",2020,2.0,1U,23.150253472222225,29.535570522030653,26.203856810291793,26.18020355734767,1U
"Bedarra Island",1998,2.0,1U,22.72767958333333,30.163158310931905,26.81232287298492,27.21032254965651,1U
"Bedarra Island",2002,2.0,1U,22.72767958333333,30.163158310931905,26.81232287298492,27.21032254965651,1U
"Bedarra Island",2013,2.0,1L,22.72767958333333,30.163158310931905,26.81232287298492,27.21032254965651,1L
"Repulse",1997,2.0,1U,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,1U
"Repulse",1998,2.0,2L,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,1U
"Repulse",2000,2.0,2L,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,2L
"Repulse",2001,2.0,2L,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,2L
"Repulse",2003,2.0,2L,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,2L
"Repulse",2004,2.0,2L,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,2L
"Repulse",2013,2.0,1U,20.494426156462584,28.30513818565401,24.909081332882618,24.872601111449118,1U
"Repulse",2017,2.0,2L,20.99118940412186,28.51766562874252,25.172429844412864,25.834865763142176,2L
"Repulse",2021,2.0,1U,20.648794937275987,28.31334563172043,25.09900023806388,25.682790995370375,1U
"Manning Island",2006,2.0,2L,20.64736214157706,28.654239224910395,24.500979828146715,25.006551921296293,2L
"Manning Island",2008,2.0,2L,20.64736214157706,28.654239224910395,24.500979828146715,25.006551921296293,2L
"Manning Island",2010,2.0,2L,20.64736214157706,28.654239224910395,24.500979828146715,25.006551921296293,2L
"Manning Island",2012,2.0,2L,20.64736214157706,28.654239224910395,24.500979828146715,25.006551921296293,2L
"Manning Island",2014,2.0,2L,20.64736214157706,28.654239224910395,24.500979828146715,25.006551921296293,2L
"Manning Island",2020,2.0,3L,18.95050138888889,29.479501340996173,24.316915132110527,25.210856185113094,3L
"Manning Island",2021,2.0,2U,18.95050138888889,27.59844702060932,24.089794379986994,24.526352503360222,3L
"Seal Rocks North",2006,2.0,2L,20.633779999999994,28.97839677419355,24.450415677224033,24.64812612903226,2L
"Seal Rocks North",2008,2.0,2L,20.633779999999994,28.97839677419355,24.450415677224033,24.64812612903226,2L
"Seal Rocks North",2010,2.0,2L,20.633779999999994,28.97839677419355,24.450415677224033,24.64812612903226,2L
"Seal Rocks North",2012,2.0,2L,20.633779999999994,28.97839677419355,24.450415677224033,24.64812612903226,2L
"Seal Rocks North",2014,2.0,2L,20.633779999999994,28.97839677419355,24.450415677224033,24.64812612903226,2L
"Seal Rocks North",2020,2.0,3L,19.352942002688174,29.519516522988507,24.4022181967275,25.146952218900626,3L
"Seal Rocks North",2021,2.0,2U,19.352942002688174,27.53222099014337,24.16912672452814,24.53857127501493,3L
"Davies Reef",1997,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",1998,2.0,3L,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",1999,2.0,3L,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,3L
"Davies Reef",2000,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,3L
"Davies Reef",2001,2.0,2L,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",2002,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2L
"Davies Reef",2003,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",2004,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",2005,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",2007,2.0,2L,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2L
"Davies Reef",2009,2.0,2U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,2U
"Davies Reef",2011,2.0,1U,23.767301713709674,28.59955424107143,26.260211394309582,26.482754301997396,1U
"Davies Reef",2013,2.0,1U,23.767301713709674,28.59955424107143,26.248502218404862,26.363827696389876,1U
"Davies Reef",2015,2.0,2L,23.767301713709674,29.12910510928248,26.388695479859944,26.2207790374394,2L
"Davies Reef",2017,2.0,2U,24.141123991935487,29.20788832885305,26.57786714287026,26.268304270833333,2U
"Davies Reef",2019,2.0,3L,23.655237119175627,28.24860059523809,26.210440915804032,26.47430144937276,3L
"Davies Reef",2021,2.0,3L,23.655237119175627,28.24860059523809,26.210440915804032,26.47430144937276,3L
"Ningaloo Reef",1998,2.0,3L,20.22589233618893,28.59566740591398,24.528135378730965,24.63692115199373,3L
"Ningaloo Reef",2001,2.0,3U,20.22589233618893,28.59566740591398,24.528135378730965,24.63692115199373,3U
"Cattle Bay",1997,2.0,2L,21.581083714157707,29.364059139784946,25.957817910205517,26.4674291375448,2L
"Cattle Bay",1998,2.0,2U,21.581083714157707,29.364059139784946,25.957817910205517,26.4674291375448,2L
"Cattle Bay",2000,2.0,1L,21.581083714157707,29.364059139784946,25.957817910205517,26.4674291375448,1L
"Cattle Bay",2001,2.0,1L,21.581083714157707,29.364059139784946,25.957817910205517,26.4674291375448,1L
"Cattle Bay",2003,2.0,1L,21.581083714157707,29.364059139784946,25.957817910205517,26.4674291375448,1L
"Cattle Bay",2007,2.0,1L,21.581083714157707,29.364059139784946,25.957817910205517,26.4674291375448,1L
"Raine Island",1998,2.0,3U,25.58162071284465,28.781086309523808,27.305931189272467,27.607317428315415,3U
"Kelso Reef",2002,2.0,1U,23.461765456989248,29.41368898809523,26.307166453191375,26.186778147401434,1U
"Kelso Reef",2003,2.0,1L,23.88123783031989,28.84266517857143,26.259223925087692,25.940861250063765,1U
"Kelso Reef",2008,2.0,1L,22.48036400862069,28.396797198275863,25.68010384124078,25.89489278561828,1L
"Kelso Reef",2010,2.0,1U,23.163778315412188,29.168899687144485,26.04846672619196,26.050636726777185,1U
"Kelso Reef",2014,2.0,1U,23.63160383064516,28.794318862007167,26.259584403655168,26.247963541666667,1U
"Kelso Reef",2016,2.0,2L,23.779642809139787,28.475439087301588,26.157266385716365,26.262724826015535,2L
"Kelso Reef",2018,2.0,2L,23.779642809139787,28.475439087301588,26.157266385716365,26.262724826015535,2L
