Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Rib Reef",2019,1,1U,22.88356911,28.53272788,25.945398155000003,26.157878605,1U
"Rib Reef",2020,1,1L,22.88356911,29.82790994,26.209586148333333,26.380317235,1U
"Rib Reef",2021,1,1U,22.88356911,29.82790994,26.209586148333333,26.380317235,1L
"Coconut Beach Reef",1998,1,2U,23.71534946,30.72155622,27.38322438,28.17013049,2U
"Coconut Beach Reef",1999,1,2L,22.48475454,30.04942838,26.42105911,27.108382589999998,2U
"Coconut Beach Reef",2000,1,2U,21.87281584,29.04740417,26.008051194999993,26.88623752,2L
"Coconut Beach Reef",2001,1,2L,23.4714254,29.4946875,26.72008579666667,26.99647642,2U
"Coconut Beach Reef",2002,1,2L,22.69898387,29.58032515,26.585896476666672,26.91308917,2L
"Coconut Beach Reef",2003,1,2L,22.94278763,30.12476453,26.76801548666666,27.239698375,2L
"Coconut Beach Reef",2004,1,2L,22.64960685,29.3833172,26.470018656666667,26.40895309,2L
"Coconut Beach Reef",2005,1,2U,23.03755733,29.70410694,26.720611376666664,26.998501105,2L
"Coconut Beach Reef",2006,1,2U,23.01272863,30.74689933,26.611751439166664,26.493265045,2U
"Coconut Beach Reef",2007,1,2U,23.28028327,30.86693972,27.475867593333334,27.79999175,2U
"Coconut Beach Reef",2008,1,2U,23.1543377,30.86693972,27.238030294166666,27.3285152,2U
"Coconut Beach Reef",2009,1,2L,23.1543377,30.86693972,27.238030294166666,27.3285152,2U
"Coconut Beach Reef",2010,1,2U,23.1543377,30.86693972,27.238030294166666,27.3285152,2L
"Coconut Beach Reef",2011,1,2U,23.1543377,30.86693972,27.238030294166666,27.3285152,2U
"Coconut Beach Reef",2013,1,2U,23.1543377,30.86693972,27.238030294166666,27.3285152,2U
"Coconut Beach Reef",2015,1,1U,23.1543377,30.86693972,27.238030294166666,27.3285152,1U
"Coconut Beach Reef",2016,1,2L,23.1543377,30.86693972,27.238030294166666,27.3285152,1U
"Coconut Beach Reef",2017,1,2L,23.1543377,30.86693972,27.238030294166666,27.3285152,2L
"Coconut Beach Reef",2019,1,1U,23.1543377,30.86693972,27.238030294166666,27.3285152,1U
"Coconut Beach Reef",2021,1,2U,23.1543377,30.86693972,27.238030294166666,27.3285152,2U
"Tryon Island",2006,1,2U,21.13272251,26.11096806,23.519704737500003,23.481513614999997,2U
"Tryon Island",2008,1,3U,20.4786979,26.65078676,24.00283164166667,24.036721319999998,3U
"Tryon Island",2010,1,2L,21.43865606,27.52810601,24.611080583333333,24.4829863,2L
"Tryon Island",2014,1,2U,20.54381577,27.27200681,24.019876059166666,24.018175375,2U
"Tryon Island",2016,1,3U,21.28435847,26.93544675,24.45120547,24.275071654999998,3U
"Tryon Island",2018,1,3L,21.28435847,26.93544675,24.279799607500006,24.290100635,3L
"Tryon Island",2020,1,3L,21.62855819,28.263812,24.595593147499997,24.383274434999997,3L
"Tryon Island",2021,1,3U,21.62855819,26.96500543,24.479131911666666,24.497246535000002,3L
"Low Isles",1997,1,2U,23.68223645,29.62410632,26.865174006666667,27.093133465,2U
"Low Isles",1998,1,3L,23.68223645,29.62410632,26.865174006666667,27.093133465,2U
"Low Isles",1999,1,2L,23.68223645,29.62410632,26.865174006666667,27.093133465,3L
"Low Isles",2000,1,1U,23.68223645,29.62410632,26.865174006666667,27.093133465,2L
"Low Isles",2002,1,1U,23.68223645,29.62410632,26.865174006666667,27.093133465,1U
"Low Isles",2004,1,2L,23.68223645,29.62410632,26.865174006666667,27.093133465,2L
"Low Isles",2006,1,2U,23.68223645,29.62410632,26.865174006666667,27.093133465,2U
"Low Isles",2007,1,2U,23.68223645,29.62410632,26.865174006666667,27.093133465,2U
"Low Isles",2008,1,2U,23.68223645,29.62410632,26.865174006666667,27.093133465,2U
"Low Isles",2010,1,3L,23.68223645,29.62410632,26.865174006666667,27.093133465,3L
"Low Isles",2017,1,3L,23.26688968,30.30866078,26.98079558166667,27.147917225,3L
"Low Isles",2019,1,2U,22.4735795,29.25511037,26.10257473,26.515933725,2U
"Low Isles",2020,1,2L,23.4413704,29.99103112,26.889885983333333,27.15612147,2U
"Low Isles",2021,1,2L,24.15596139,29.44045841,26.771356609999998,27.008453475,2L
"Nth Barnards (Jesse Is)",1998,2.0,1U,22.32626061224489,30.85993526785714,27.040411892524926,27.779172853942654,1U
"Nth Barnards (Jesse Is)",2002,2.0,1U,22.32626061224489,30.85993526785714,27.040411892524926,27.779172853942654,1U
"Nth Barnards (Jesse Is)",2013,2.0,1L,22.89752560185185,29.37204146505377,26.4566367010451,27.092545162783754,1L
"High Island",1999,2.0,1U,23.19615284498208,29.29283967911877,26.898229476167263,27.126015,1U
"High Island",2002,2.0,1L,23.19615284498208,29.29283967911877,26.898229476167263,27.126015,1L
"High Island",2005,2.0,2L,23.19615284498208,29.29283967911877,26.898229476167263,27.126015,2L
"High Island",2007,2.0,1U,23.19615284498208,29.29283967911877,26.898229476167263,27.126015,1U
"High Island",2013,2.0,1U,23.19615284498208,29.29283967911877,26.898229476167263,27.126015,1U
"Frankland Islands",1999,2.0,1U,23.39691545454545,30.15922056451613,26.772957207009085,26.894326105510757,1U
"Frankland Islands",2002,2.0,1L,23.39691545454545,30.15922056451613,26.772957207009085,26.894326105510757,1L
"Frankland Islands",2005,2.0,2L,23.39691545454545,30.15922056451613,26.772957207009085,26.894326105510757,2L
"Frankland Islands",2007,2.0,1U,23.39691545454545,30.15922056451613,26.772957207009085,26.894326105510757,1U
"Frankland Islands",2013,2.0,1U,23.403333310185182,30.06444554765292,26.62292251416442,26.894326105510757,1U
