site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Yonge Reef,1001,YONFL1,3146,2.0,Water Temperature,-14.5808,145.6136,14-138,YONGE REEF,14138S,-14.6,145.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.37044884341637,27.486712569444443,26.416854939516128,25.68735357638889,24.777952620967746,24.56128172043011,24.74213465277778,25.33327429435484,26.675928159722226,27.611910349462363,28.1039087955626,28.37245513392857,27.91287983870968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.988102887788777,27.603123611111112,28.998620430107525,29.04717063172043,29.10861979166667,28.43839894713261,27.73437305555556,26.70928095878136,26.17539164351852,25.820884991039424,25.62959744623656,25.665180695443645,,,
Dunk Island,1005,DUNKFL1,3168,2.0,Water Temperature,-17.9263,146.1461,17-053,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6361404109589,28.07883752314815,26.732611447132616,25.480425231481483,24.266725632911392,,,,,,,,,,,,,,,,,,,29.017945380802164,28.27663378136201,27.44807740740741,25.10257123655914,22.85192732934132,22.74525806451613,23.63250768369176,24.99956636574074,26.706585645651536,28.458405987654324,28.69654718488649,28.559067555256867,28.66769208829365,28.79416807134661,27.34125247685185,25.13754045698925,22.821955673258003,22.208632403673835,22.27103624551972,23.79193677083333,25.75903436740364,27.598526863425928,28.66304287634409,29.91235451388889,29.928622461685823,29.23374218189964,28.179487604166667,25.170197865576743,23.30825261252754,22.54723163829152,23.156882474611702,24.058779097222224,26.16217750771605,27.94695581790124,29.427771587514936,28.837701545698927,29.334567643865363,28.68706272401434,27.38138835648148,25.17974775985663,23.601507783882784,,,,,,
Nth Barnards (Jesse Is),1007,NBARFL1,3170,2.0,Water Temperature,-17.6722,146.1742,17-043,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.32626061224489,24.86379611111111,27.523632930107528,29.55746388888889,29.648408870967742,30.553288844086023,30.85993526785714,29.116737029569894,28.034712777777777,25.40327673611112,23.431198055555555,23.166231586021503,23.62144744623656,24.81336486111111,26.08888245967741,27.98862006944445,28.886375940860216,30.221536155913977,28.79162366071429,29.319606653225804,27.11669388888889,26.651561491935485,23.80233159722222,21.22718993055556,22.468421706989247,24.28992493055555,26.127015658602147,27.78784881944444,29.261605443548383,29.66412083333333,29.22899669540229,27.382013709677413,26.610089166666665,24.70820073924731,23.217870972222222,22.087773924731184,21.85034690860215,24.36154923611112,26.39997278225806,28.040769166666667,29.050155913978493,28.981810685483868,28.517831398809523,28.7344375,28.05487597222222,25.6838885026738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.044562314049585,22.89752560185185,23.30406086469534,23.81582755376344,25.138475185185182,26.78549092741936,27.47188666666667,29.37204146505377,29.176857302867383,28.8363984375,28.236914695340506,27.399599398148148,25.04573093637993,22.91482691570881,22.822550694444445,23.65837757616488,24.99054569444444,26.477950336021504,28.334921157407408,28.64728181003584,28.649057370071684,28.779682390873013,28.87827482078853,27.225865925925927,25.118335707885304,22.78036618773946,22.281490972222223,22.34989744623656,23.84418363425926,25.829989336917563,27.586203912037035,28.6312333109319,29.91624372759857,29.83825227490421,29.169638978494625,28.2124125462963,25.177673835125447,23.328728032407405,22.58663053240741,23.25781258960573,24.23683020833333,26.206379345878133,27.94243222222222,29.402587119175628,28.88414728942652,29.399548015873016,28.790629211469533,27.3672900925926,25.23432580645161,23.74362700421941,,,,,,
High Island,1009,HIGHFL2,3179,2.0,Water Temperature,-17.1622,146.007,17-009,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.009005830258307,27.432805694444443,28.640230577956988,29.16486821236559,29.29283967911877,29.255977731481483,28.02324476851852,26.819224305555554,25.659349143518515,24.09427948599213,23.19615284498208,25.19077543981481,26.93869390681004,28.089729421296298,29.23783147401434,29.906688575268817,29.93256021825397,29.93803663194445,27.63268085648148,25.1581498655914,23.059973173868315,23.32772795698925,23.849060887096776,24.942768692632097,26.645810551075268,27.41831002314815,29.171366241039426,29.014786850358423,28.731197838950347,28.099777531362008,27.326512407407407,25.189551724910395,23.041945796407187,22.94821238799284,23.698067271505376,24.90126483796297,26.23811921741144,27.83605233796296,28.474056586021504,28.661822311827954,28.88364032738096,28.77152262097708,27.207474050925924,25.19361498655914,22.92585,22.223893518518523,22.32332446236559,23.66902074074073,25.350924513888888,26.78987891203704,27.45154218189964,28.788134027777776,28.76623644636016,28.33908629032258,27.33912016203704,24.443880062724016,22.60166895833333,22.14261835648148,23.48510071684588,24.22860481481481,25.565976980568013,,,,,,,,,,,,,,
Fitzroy Island,1011,FITZFL2,3175,2.0,Water Temperature,-16.9233,145.9963,16-054,FITZROY ISLAND REEF,16054S,-16.925,145.983333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.02175295918368,24.132248541666662,25.7182997311828,27.28284090277777,29.07392694892473,28.92379711021506,28.450095312500004,28.33087930107527,27.538955416666663,25.432896774193548,23.85058625,23.58904690860215,22.61099951737452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.28872688117557,23.34432941308244,24.10988877688172,24.79599763888889,26.802719624542124,27.95205796296296,28.523556384408604,28.57478482676225,28.84617273478836,28.66170780472308,27.350474814814817,25.44289274193548,23.3320134837963,22.48432984173973,22.75330916218638,23.77821743055556,25.758319328703703,27.20214855324074,28.44365540994624,29.56063938172043,30.09136276340996,29.098330600358423,28.11666578703704,25.575964392921147,23.791395173611114,23.350975023148145,23.83986659946237,24.468467673611112,26.225071068548385,27.797570150462963,29.262354625896062,29.057051926523293,29.62115513245033,,,,,,,,,,
Frankland Islands,1013,FRNKFL2,3176,2.0,Water Temperature,-17.227,146.0904,17-012,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.657339595375724,30.15922056451613,29.90800739942529,28.253122379032256,27.40858465277778,25.73947856182796,24.049079791666664,23.39691545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06444554765292,27.720458773148145,25.27260499551972,23.403333310185182,23.42243373655914,23.951180689102564,24.963905184817666,26.48025103046595,27.30840118055556,29.033266621863795,29.02280705645161,28.8319820436508,28.231406586021507,27.33395828703704,25.40055112007169,23.373906874251496,23.226260618279568,23.86689666218638,24.87014800925926,26.07212674731183,27.666805787037035,28.311984341397853,28.613287701612904,28.83665533234127,28.707080622759857,27.275012916666668,25.31129063620072,23.333291921296297,22.450413382727483,22.049899633699635,,25.811815706319702,27.155803773148147,27.95694507168459,29.491513552867385,29.652085201149426,29.11611288082437,28.09686962962963,25.38751288082437,23.63698287037037,23.17085787037037,23.657531227598568,24.339954305555555,26.064570564516128,27.73707212962963,29.037339448924733,28.86059592293907,29.198325768849205,28.66103676075269,27.480068657407408,25.398584027777776,23.92883662361624,,,,,,
Peak Island,1022,PEAKFL1,3284,2.0,Water Temperature,-23.3413,150.9369,23-026,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.416376623376625,27.652807886904764,28.48335665322581,26.23330298611111,25.55618595430107,21.51778798611112,18.793316397849463,20.773330241935483,22.77355930555556,25.76797392473118,26.57958680555556,28.00306962365591,27.85834684139785,27.8899430316092,26.20480215053763,25.066761608391605,24.369244489247315,24.486313372093026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.07549979584893,20.98727618055556,19.335860640681005,20.147339000896057,21.95967425925926,23.459137768817204,26.29745791666667,27.37276406810036,27.70031827956989,28.037109051724137,27.19038252688172,25.87583701388889,24.308720833333336,21.402638819444448,19.93884079301075,20.22884372759857,22.29450969907408,24.237288261648747,26.073554375,27.35845849014337,28.28424751344086,28.696021006944445,28.13040029121864,25.00479037037037,22.92853947305389,20.93857412037037,20.96717484318997,21.453985282258063,22.59288891203704,25.16909484767025,25.22558685185185,27.246464896953405,28.52982318548388,27.74546604662698,27.048349148745523,25.294838402777778,22.93501836917563,20.408983125,19.962289896953404,20.14066821236559,21.83483615740741,24.436334498207884,26.23096756944444,26.755331630824376,27.10270512992832,27.622193154761906,27.42068525985664,25.28733805555556,23.1199418361582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Keppel Island,1026,NKEPPFL1,3208,2.0,Water Temperature,-23.0864,150.9052,23-004,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.563316292134832,27.458007068452385,28.4060500672043,26.369280625,25.670031182795697,24.37918037974684,,,,,,,,,,23.696988050314467,22.524187096774195,20.84584104166667,19.70573716397849,18.714602889784945,21.137324791666668,23.32394200268817,25.27251270833333,27.60003575268817,27.42746559139785,27.134318973214288,26.36025887096774,25.367294583333337,23.372713204951857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.363192153904187,21.32280462962963,19.84519838709677,20.399483176523297,22.000084930555555,23.369565322580645,25.921814583333333,27.15506955645161,27.642207011648743,27.99747995689655,27.28802804659498,26.01704923611112,24.60308566308244,21.885551064814816,20.585246841397847,20.416332168458784,21.97124645833333,23.89303629032258,25.77424305555555,26.998851052867384,27.882063844086023,28.7197632936508,28.25187997311828,25.16083474537037,23.14481080239521,21.438884583333333,21.42959345878136,21.807030712365595,22.639171296296297,24.743616218637992,25.21585645833333,26.92610315860216,28.22664269713262,27.48987462797619,27.059249126344085,25.425577847222225,23.30211650985663,20.823973773148147,20.490727262544805,20.59746633064516,21.85985743055556,24.02385582437276,25.95084659722222,26.59025257616488,27.050551500896056,27.53426505456349,27.18482186379928,25.50876210778443,23.156065681003582,20.77316789351852,20.03872522401433,20.22466966845878,21.67244138888889,23.79829332437276,25.4683957175926,27.21047950268817,27.961600604838708,29.24235203544061,27.116818234767024,26.11616069444444,22.93079868055556,21.294781828703705,19.877288149641576,20.419498947132617,21.77475099537037,23.735923051075268,25.64280090277777,27.11086839157706,27.1782230062724,27.610151240079364,27.72707694892473,25.549846319444445,23.84250310945273,,,,,,,
Pandora Reef,1037,PANFL1,3246,2.0,Water Temperature,-18.8164,146.4341,18-051,HAVANNAH REEF,18065S,-18.85,146.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0142635538262,24.74462849537037,23.231694578853045,22.6769665546595,24.952677846316533,26.86952148297491,27.89903261574074,29.22557861783154,30.183033915962493,29.83303954613095,30.01894312275985,27.477968779160182,24.915249479166665,22.710959259259266,22.91815465949821,23.652369018817204,24.52170223097113,,,,,,,,24.31773616607201,22.70140763888889,22.5328208781362,23.422403382616487,24.80037231481481,26.122792540322585,28.3525925,28.62609307795699,28.283343234767027,28.29647829861112,28.75048281810036,27.14386273148148,24.77878176523297,22.407301197604795,22.016050896057347,22.08457564964158,23.781272311377247,25.75829865591397,27.374046944444444,28.43664896953405,30.007251209677424,30.38388465038314,29.3400997311828,28.140139559386974,24.78590257616488,23.081446550925925,22.14822694892473,22.81293366935484,23.67002550925926,25.9722333781362,27.900310277777773,29.20702894265233,28.46273046594982,29.096678893849205,28.62819005376344,27.124143171296296,25.31469317585302,,,,,,,
Humpy Island,1039,HUMPFL1,3259,2.0,Water Temperature,-23.2162,150.9638,23-016,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.065969353327088,22.02963724537037,20.543444623655912,20.34896758512545,21.929786041666667,23.868925515232974,25.734632060185184,26.946757795698925,27.94015905017921,28.66342872023809,28.20689744623656,25.232905324074075,23.355155516014232,21.285216666666663,21.40767,21.926974193548386,22.535689999999995,24.715016129032257,24.972926666666662,26.950076666666668,28.404190322580643,27.497607142857145,26.92380322580645,25.3004,23.20359254825312,20.88571025462963,20.49120286738352,20.544343593189964,21.73706645833333,23.91910427867383,25.96468726851852,26.628425627240144,27.03115734767025,27.555101736111112,27.201890703405017,25.543057197604792,23.19620931639444,20.81803466820988,19.989058781362004,20.21087556750299,21.597015810185187,23.7530919728196,25.49270101851852,27.29012797192353,28.00105012694146,29.28934679118774,27.14564837962963,26.142058082942096,23.034774292237444,21.272736041666665,19.88284870071685,20.34652869623656,21.65161965277778,23.70570152329749,25.631300185185182,27.185459744623657,27.083063844086023,27.5418816468254,27.69554350358423,25.53183587962963,23.85933893939394,21.26714722629521,20.213766677867383,20.586976814516127,21.591685914351853,24.01091167114696,25.898325208333333,27.83259875672044
