site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Havannah Island,1075,HAVSL2,14975,8.0,Water Temperature,-18.8315,146.5374,18-065,HAVANNAH REEF,18065S,-18.85,146.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.86103271939329,24.9147373655914,22.73741157407408,22.967300089605736,23.54773467741936,24.82493935185185,26.62359489247312,27.020580555555554,29.05280860215053,29.11207159498208,28.877693154761904,28.144255734767025,27.09445555555556,24.87374050179212,22.73612685185185,22.5363211469534,23.364381182795697,24.61011296296296,26.018032616487456,27.989316666666667,28.257497222222224,28.19063566308244,28.081725892857143,28.599656720430108,27.11791851851852,24.91215113533152,22.57068725212464,21.993445788530465,22.009321438172044,23.488549398148148,25.37937701612904,27.10921435185185,28.080711693548384,29.71595801971326,29.97850105363985,29.064026859319,27.899028935185186,24.850274708781363,23.184639884259266,22.11788465501792,22.80183552867384,23.573039074074075,25.72006146953405,27.60890134259259,29.03667806899642,28.39285380824373,28.9277175843254,28.55913326044704,,,,,,,,,
Limuka,1079,LIMSL1,3959,8.0,Water Temperature,-5.4369,150.0975,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.057006800000003,30.385046666666668,30.18784186827957,28.906435902777776,28.3870436155914,27.91676229838709,28.253446319444443,29.25215383064516,29.861307708333328,30.416600403225807,30.488109206989243,30.683815029761902,30.34211612903226,30.566821978798583,29.98461424731183,29.53936527777778,29.34704099462365,29.03008534946236,29.12541875,29.908013440860213,30.4485625,31.0086995967742,31.218038978494626,30.698348958333334,30.69478158602151,30.8070139470014,30.77872983870968,30.42827152777777,29.39825336021505,28.44067741935484,28.67996180555556,28.683396505376344,29.362384722222224,30.30212298387096,30.70159610215053,30.86143601190476,30.80121034946237,30.667339798850573,30.26543615591398,30.08630902777778,28.74194623655914,28.970535618279573,29.582222222222224,30.084825268817205,30.1693125,30.636323924731183,30.139780241935487,30.819535971223026,,29.984151734693874,30.247839247311823,29.61981513888889,29.48832788978494,29.29771854838709,29.7175175,30.30919287634409,30.43896145833333,30.800491129032256,30.726686021505376,30.661378869047617,30.80673944892473,30.946647777777777,30.312810991379312,29.50264986111112,28.96557043010753,28.67512399193548,28.580847638888887,29.00039025537635,29.586552569444443,29.858325537634407,29.71115510752688,29.46427313988095,29.506452486559137,30.15271775280899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29642733219568,30.50338019713261,30.714727800925928,30.843465076164875,31.143750268817207,31.24815481150793,31.50368010752689,31.26062266203704,30.771755533154124,29.85507578703704,29.34143377245509,29.45157231182796,29.89702578703704,30.404301120071683,30.87058703703704,30.66549460125448,31.15145002240144,30.757790029761907,31.051780309139787,31.23572129629629,30.68528942598187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperieuse Reef,1134,IMPERIEUSEOUTSL1,10156,8.0,Water Temperature,-17.5039,118.9648,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78831126644737,28.08948791666667,28.545065546594984,28.445529525089608,28.71857445436508,30.067927083333338,29.917157453703705,28.8814083109319,26.68828006944445,25.304210775089604,24.808983870967744,25.26475875,26.039583657407405,27.494823935185185,28.85365920698925,29.120693951612907,29.47075190972222,29.64237049731183,29.06758810185185,27.70336693548387,26.97553726851852,25.484686692708337,,,,,,,,,,,,,26.158918181818173,26.585489655172413,27.52112258064516,28.596,29.39026129032258,28.744603225806458,28.159033333333333,29.48747096774193,29.269169999999995,28.420006451612903,27.13849333333333,25.97201333333333,25.42225185185185,,,,,,,,,,,,24.677480369913688,24.89167318313953,,,,,,,,,,,,25.69586107142857,26.20380739247312,27.86295136574074,29.47135553315412,29.493679077060936,28.874763553639845,29.87298293010753,30.34509636574074,28.74791321684588,27.218874375,26.356512768817204,25.634207152777776,26.460259699074072,26.51263405017921,27.88507060185185,29.18627827060932,30.102866689068097,29.362741369047622,29.554076120071684,29.60427597222222,28.62731321684588,26.988575439814817,25.99509502688172,25.88827457437276,26.51204364035088,,,
Heron Island,130,HERSL1,2668,8.0,Water Temperature,-23.4435,151.9081,23-052,WRECK ISLAND REEF,23051S,-23.333333,151.966667,25.745396505376345,26.90769345238096,26.04844653665097,24.833666666666662,23.4457123655914,21.83515972222222,20.62020188425303,20.503808882907137,21.3032383599722,22.71258585858586,24.10125,26.18545138888889,26.574254032258064,28.09639136904762,27.294697580645163,26.098143254520163,24.52224462365592,23.15721835883172,21.48574983187626,21.06432795698925,22.70911805555556,23.666048387096776,24.19574305555556,25.65842946490618,27.00569892473118,27.27090773809524,26.85075268817204,25.206729166666666,23.521955645161288,22.42913194444445,21.227708333333336,20.34747311827957,21.58292361111111,23.10073252688172,23.65182638888889,24.37290994623656,25.575309139784945,25.70281757259865,25.99643779421654,24.809460416666667,23.636040322580644,21.24476965901183,20.586687584345484,20.65061574697173,21.44312925642808,22.563150537634403,23.673194444444444,25.08649260752688,25.86127706792199,26.38771875,26.931848118279568,25.249670138888884,24.426582638888885,22.35032430555556,21.537748655913976,21.36314448924731,21.619163888888888,22.87794690860216,24.349322446143155,26.4030625,27.614386424731183,28.031119047619047,26.959298387096776,25.40438125,23.836568181818183,,,,,,,,,,,,,,,,,,,,,,,25.3045266497462,24.012542703429723,22.09661805555556,20.9754623655914,21.15775201612903,21.37887986111111,22.71077889784946,24.461619874913133,25.835505376344084,26.41483467741936,26.916918154761905,26.61499731182796,25.161900625434328,23.899105510752687,22.236771527777776,21.201665322580645,20.94010483870968,21.63679513888889,23.28737061994609,25.114395138888888,25.98527531645569,,,,,,,,,,,,,,,,25.189459316770183,24.40897674731184,22.65606736111111,20.90344375,20.893775201612904,21.53262868055556,22.81908555107527,23.97991055555556,25.36853817204301,26.38102829301075,26.33310603448276,25.347882661290324,24.534933125,23.483983045977013,22.614591736111112,21.46370577956989,20.93493353494624,21.758360763888888,23.384443725868724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-104 Reef,2564,20104SL1,12204,8.0,Water Temperature,-20.0294,149.6951,20-104,20104S,20104S,-20.033333,149.683333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3467136,29.085829681899643,27.322622685185188,25.74082385752688,24.20246435185185,23.81592865143369,23.77053841845878,24.288046435185187,25.74943465501792,26.41746726851852,27.518545497311827,28.448553225806453,28.496954241071432,28.181778181003587,27.062616504629627,25.61580607078853,23.793665949074075,22.884689045698924,23.08106198476702,23.78002101851852,24.948013060035844,26.78247638888889,27.68609879032258,27.71143689516129,27.885898189484127,28.100304928315413,27.188387986111103,25.693277329749105,23.965084212962964,22.90724466845878,22.601875806451613,23.03139923611112,24.580469802867388,26.046758194444443,27.4672145609319,28.39039218189964,29.534484889846745,28.61583951612903,27.569168587962963,25.742679166666665,24.0878119675926,22.93148745519713,22.81077558243728,23.397220300925927,24.831917204301075,26.36268775462964,27.57778602150538,27.988659767025087,28.3259761589404,,,,,,,,,,
Small Lagoon Reef,2681,SMLLAGSL1,12396,8.0,Water Temperature,-21.8669,152.5261,,SMALL LAGOON REEF,21572S,-21.875,152.508333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.43807783995523,27.50836396329365,27.400391263440863,26.56329587962963,25.105906451612903,23.661972847222223,22.916681205197133,22.43444406362007,22.65997625,23.89870248655913,25.55808048611112,26.737958109319,26.925295250896056,27.26281016865079,27.37488492383512,26.514887546296293,25.23885676523297,24.026203310185185,23.055697110215053,22.324114359319,22.45178740740741,23.527443525985664,25.011378541666662,26.49079861111111,27.066229596412555,,,,,,,,,,,,,,,,,,,,,,,
21-245 Reef,2682,21245SL1,12398,8.0,Water Temperature,-21.2965,152.4465,21-245,21245S,21245S,-21.308333,152.441667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.64178229012163,27.70569300766283,28.24147296146953,27.382024166666667,26.561104883512545,25.24827868055556,24.6733832437276,23.72182316308244,24.39076763888889,25.46281532258065,26.04540534722221,27.15052190860215,28.13608443100358,28.606029389880952,28.58905752688172,26.86217877314815,25.40273779121864,24.49043935185185,24.103642741935484,24.00839957437276,24.140011273148147,25.13901075268817,25.886006481481484,26.99316948924731,27.677685819892474,27.82565317460317,27.62804592293907,26.71753375,25.29544296594982,23.730537523148147,23.33067004928316,23.18384318996416,23.79174780092593,24.838427531362008,26.1513775925926,27.27135165770609,27.153717495519714,27.37380845734128,27.57344016577061,26.78639555555556,25.595777598566308,24.239466087962963,23.37690905017921,23.048941890681004,23.057615287769785,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-278 Reef,2683,21278SL1,12437,8.0,Water Temperature,-21.1085,152.5502,21-278,21278S,21278S,-21.108333,152.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.703422426817752,27.51602004928316,27.345409424603176,26.81149027777778,26.50312532407408,25.40300905017921,24.533095995370367,23.38703172043011,22.794693010752685,23.244088472222224,24.107302464157705,25.434954166666664,27.109981653225805,28.235899551971325,27.92779573412698,28.00631561379928,27.30146442129629,25.7298998655914,24.51037731481481,23.75302121415771,23.67491818996416,24.10799226851852,24.449147177419352,25.896768935185182,27.084296393369176,27.342845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-139 Reef,2686,21139SL1,12435,8.0,Water Temperature,-21.4547,151.4654,21-139,21139S,21139S,-21.475,151.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.992199257425742,28.244814966475094,27.949205577956988,27.002556898148143,26.102412768817203,24.57977787037037,23.59372856182796,22.735971617383512,23.50195460648148,24.86049318996416,25.94284016203704,26.846075380824374,27.83473568548387,28.478796478174605,28.442562925627243,26.64878203703704,25.10676684587813,23.449539074074075,23.155100537634407,23.23258210125448,23.52428858796296,24.9228227374552,25.60637196759259,26.754145071684587,27.63130965501792,27.67314890873016,27.41173948754789,26.54362148148148,24.995413754480285,23.268266041666667,22.50459625896057,22.41404193548388,22.94921141203704,24.33523947132616,25.845524328703704,26.95467856182796,27.144740389784943,27.318114161706347,27.56677979390681,26.64874782407407,25.005548991935484,23.428692175925924,22.368287163978497,22.029698028673835,22.31077393048128,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-187 Reef,2687,21187SL1,12436,8.0,Water Temperature,-21.4054,151.6384,21-187,21187S,21187S,-21.416667,151.641667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.01207568093385,27.18625261574073,26.208455017921143,24.745816157407408,23.85916615143369,23.044525739247312,23.588591365740744,24.85232365591398,25.82857386574074,26.82954034498208,27.84082961469534,28.36690838293651,28.345751814516127,26.816496111111107,25.242970564516128,23.75494766203704,23.43431953405017,23.37680280017921,23.58246069444445,24.92399218189964,25.63973622685185,26.643903965053763,27.51409516129032,27.61993278769841,27.431365996168584,26.666441666666664,25.2138269937276,23.426213263888886,22.65806395609319,22.49781146953405,23.05660078703704,24.44868830645161,25.834184212962963,26.93072226702509,27.08350965501792,27.32465267857143,27.53129569892473,26.58356912037037,25.25770710125448,23.86036275462963,22.81533653673835,22.351820810931898,22.43771319018405,,,,,,,,,,,,,,,,,,,,,,,,,,,
