site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Agincourt Reef Number 3,1,AG3SL1old,14276,5.0,Water Temperature,-15.9905,145.8213,15-099,AGINCOURT REEFS (NO 3),15099A,-15.991667,145.825,28.429227150537635,28.486239130434782,,,,,,,,25.039578651685392,26.076289089645588,27.857896505376345,28.192076612903225,28.84678571428572,28.187284946236563,27.917,27.100846774193545,25.628537604456827,24.79002688172043,25.152044384667114,25.919269819193328,26.946465053763443,27.9623125,28.323958333333334,29.05124651810585,29.12876256767208,28.67935483870968,27.52041666666667,25.82472091459314,25.12838888888889,24.15662634408602,23.633669354838705,24.62193055555556,25.753007417397168,26.993666666666662,27.332956989247315,28.563904569892472,28.805998563218388,28.35052139037433,,,,,,,,,,,,,27.27146654275093,26.631352188552192,25.654088888888893,24.75566599462366,24.28161827956989,25.05412430555556,26.08657296570276,27.5790966620306,28.806649193548385,29.37613776881721,29.41525446428572,28.60665322580645,27.681131875,26.670370497311826,25.39684027777778,24.32366361802287,24.297378975741243,24.940945694444444,25.551862970430104,26.403730902777777,27.758911424731185,28.23308190411884,28.890098358208952,28.169796567967698,27.62510701388889,26.316561827956985,25.50923131944444,24.68254161616161,24.22676364247312,24.65315491071429,25.84643481182796,26.431573611111112,28.19785589225589,29.01165793010753,29.43675359195402,28.8308064516129,27.255940972222223,26.246090725806454,25.1090125,24.16479099462365,24.319986559139785,24.373606944444443,25.35799126344086,26.74711674774149,27.504934601664683,,,29.240246902654867,28.45711083333333,27.068650940860213,25.96535791666667,25.19884784946236,24.684052956989245,25.136973541666663,26.618997782258063,27.65715875,28.78188595430107,28.99590315860216,29.34838772321429,28.746420967741937,28.39882278597786,,,,,,,,,,,,,,,,24.910703301886794,25.53210791666667,27.090166666666665,28.425142569444446,29.390897647849464,30.024479233870963,30.04580308908046,28.65687251344086,27.64680347222222,26.3620873655914,25.86952652777778,24.54920907258065,24.596652217741937,26.003055972222224,27.020639180107526,28.30526368055556,29.171386527777777,28.932152889784945,29.056630803571423,28.348361895161293,27.76326555555556,26.349886693548385,25.711712916666663,25.19310235215054,24.840984206989248,25.40137340277778,25.961459744623657,26.485506388888886,27.824556451612903,28.56169005376344,28.35128928571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunk Island,1005,DUNKSL1,3169,5.0,Water Temperature,-17.9263,146.1461,17-053,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.761618,27.62152013888889,28.48119489247312,28.68046370967742,29.544375,28.642476478494626,26.918486111111115,25.12404502688172,23.87089930555556,22.44260349462365,21.985236559139786,23.92666666666667,26.39775470430107,28.440976388888885,28.752495295698928,29.65841935483871,30.07676934523809,28.447215725806448,27.371864583333327,25.077178194444443,23.30727979166667,22.929778897849463,23.25286512096774,24.34929777777777,25.667672715053765,27.520335347222225,28.5390498655914,29.69737036290323,28.413449479166665,28.86227009408602,26.715976041666668,26.254194220430104,23.53721236111112,21.72139681818182,,,,,,,,,,,,,21.862239285714285,24.320607569444444,26.39415120967742,28.058565416666664,29.14697862903225,28.68523702956989,28.07973467261905,28.449247177419355,27.76814006944445,24.90229159946236,23.57519680555556,23.658718656716417,,,,,,,,,,,23.152329411764704,23.09227043010753,23.876177598566308,25.578574861111107,26.487276060606064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.514095880149814,23.15226704749104,24.59791750898204,24.82452809139785,27.267301087962963,28.708666263440858,29.212962051971328,29.204149209770115,29.001115833333333,28.06517983796296,26.654676478494626,25.43582486111111,24.23803765822785,,,,,,,,30.133155731102853,27.52953939814815,25.12073216845878,22.92344613425925,23.20061975806452,23.817895049283155,24.95972460927809,26.79791814516129,27.46807863425926,29.333178113799285,29.13677318548387,28.91906169282223,28.268551411290325,27.44325166666667,25.111102643369176,22.857081293413174,22.746691711469538,23.62510465949821,24.98316710648148,26.392764945589256,28.43488837962963,28.62599926075269,28.53997253584229,28.53637708333333,28.80056575596203,27.31805076388889,25.12440474910394,22.80587329341317,22.20877110215054,22.2674752688172,23.78577074074074,25.7375256772401,27.57324594907407,28.639076904121865,29.89020344982078,29.892258035714285,29.23433425179212,28.14546907407407,25.208067711171665,23.307049645892352,22.56763064516129,23.17425116487455,24.13429,26.322838564814813,27.93529175925926,29.41908841845878,28.82995208333333,29.25537512860082,28.69941151433692,27.43840335648148,25.23456005824373,23.52441453544061,23.49263864247312,23.721271348566308,23.97521443965517,26.741455824372764,28.26531993055556,29.941454771505374
Nth Barnards (Jesse Is),1007,NBARSL1,3171,5.0,Water Temperature,-17.6717,146.1747,17-043,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.235096428571428,24.67957979166667,27.30199274193549,29.373798125,29.46600456989248,30.39200423387097,30.740000223214285,29.040853293010752,27.896395694444447,25.37051097222222,23.363790625,23.04181599462365,23.47712298387097,24.58112701388889,25.846544018817205,27.64585194444445,28.61451391129032,29.94932278225807,28.56232901785714,29.036964583333337,26.97222861111112,26.474561559139783,23.75780013888889,21.22206125,22.40955228494624,24.143961041666667,25.936165188172044,27.58952736111111,29.025910282258064,29.4172563172043,28.97088031609196,27.19845840053764,26.523363125,24.620884879032257,23.12076555555556,22.0168752016129,21.76477607526882,24.227403958333333,26.224579032258067,27.838901458333336,28.76829731182796,28.724400201612905,28.310306696428576,28.543097244623656,27.93900770833333,25.175100873655914,23.855229791666662,24.12116569767442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.093042337662336,22.98408497685185,23.29017025089605,23.80878154121864,25.05733986111111,26.707901500896057,27.41962203703704,29.24853642473118,29.157676635304657,28.787836582341267,28.253609879032258,27.419113495370368,25.11252636648745,23.22896113475177,,,,,,,,,,,,22.7865549689441,22.23798452060932,22.274315277777777,23.752025625,25.708597939068103,27.43559240740741,28.511927889784943,29.801881025985665,29.652322677203067,29.159282773297488,28.13896560185185,25.28213693996416,23.35450289351852,22.620785300925927,23.16877598566308,24.10642106481481,26.06898068996416,27.85600053240741,29.285739538530468,28.785315860215054,29.204359647817466,28.61084442204301,27.33772946759259,25.19090470430108,23.6906229957806,,,,,,
High Island,1009,HIGHSL2,3180,5.0,Water Temperature,-17.1622,146.007,17-009,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.78740995440729,27.031233803763445,28.71428006944444,29.129676545698928,29.827695564516134,30.491305729166665,28.87757016129033,27.763662291666662,25.394479929577468,,,,,,,,,,,,,,,,,,,,,,,,,,,21.85970906940064,24.47862770833333,26.25635974462366,27.69476388888889,28.79141014784945,28.78823642473118,28.475478199404765,28.653920161290326,28.027427222222222,25.3147311155914,23.97478875,23.36502668010753,23.8842531996587,25.430701666666668,26.321142943548388,26.76524606481481,28.414925806451617,28.977325044802868,29.21856904761905,29.608798809523808,,,,,,,26.50901266310795,27.062014583333333,28.6760896281362,29.283447020609323,28.542252536231885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95233495575221,27.208317546296293,28.43495568996416,28.91146832437276,28.96567004310345,29.03760305555556,28.05932164351852,26.81066494175627,25.639776087962964,24.02319312056737,,,26.96824510014306,27.976757037037032,29.15595642921147,29.809423140681005,29.92526765873016,29.883629011345217,27.650755439814816,25.16490940860215,23.05582220292732,23.329246505376343,23.848908355734768,24.94255135202184,26.644140882616487,27.41334678240741,29.14394838709677,29.04956140232975,28.68315178801132,28.13830678763441,27.33734787037037,25.1855267249104,23.06694699401197,22.97492721774193,23.71439554211469,24.91981037037037,26.208081893956933,27.8104725925926,28.380267697132616,28.65790723566308,28.76986138392857,28.7450325306784,27.24100641203704,25.211514471326165,22.95213868055556,22.245192060185182,22.34775918458781,23.704361041666665,25.65564961796712,27.326316365740738,28.074933557347663,29.417044646057345,29.2276590029762,29.11687842741936,28.08953738425926,25.309505465949822,23.448330902777776,22.73667289351852,23.50720456989248,24.21487150462963,26.05270004629629,27.78378817129629,29.075930174731184,28.875219444444447,29.06300362654321,28.57097741935484,27.36897125,25.28251518817204,23.69559877873564,23.792520631720432,23.815551792114697,24.043314236111108,26.705932754629632,28.262136157407408,29.492663328853045
Fitzroy Island,1011,FITZSL2,3174,5.0,Water Temperature,-16.9231,145.9963,16-054,FITZROY ISLAND REEF,16054S,-16.925,145.983333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.172599516496017,27.75016638888889,25.33356137992832,23.38694019774012,,,,,,,,,,,,23.280200810742336,23.33565456989248,24.09419753584229,24.77732368055556,26.43864818244964,27.88180574074074,28.439157616487456,28.5538765905018,28.740916939484126,28.63307175272054,27.340434259259258,25.43652701612903,23.32927328703704,22.492038750000003,22.75346500896057,23.775705324074075,25.689147186848807,27.13456164351852,28.36205869175627,29.508606922043008,30.013174007936502,29.074089426523297,28.081767361111112,25.58998301971326,23.78268319444445,23.31959960648148,23.82582056451613,24.423244375,26.16276678240741,27.74040657407408,29.17039684139785,28.98657867383513,29.27115676440329,28.50137797939068,27.543582476851853,25.42476713709677,24.061536590038315,24.20250967741936,24.03978866487456,24.19390145833333,27.069077962962965,28.35434238425925,29.46489827508961
Frankland Islands,1013,FRNKSL2,3177,5.0,Water Temperature,-17.227,146.0904,17-012,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95224608819346,27.729451967592592,25.280027755376345,23.417156226851848,23.4179646281362,23.93813803418804,24.93522428677748,26.42464133064516,27.256280949074075,28.945143548387097,29.0065811155914,28.75177182917417,28.22190322580645,27.35346078703704,25.42128313172043,23.368702155688624,23.224595878136203,23.858323140681,24.85895284722222,26.01284142162537,27.57898025462963,28.15239314516129,28.56140217293907,28.5704789186508,28.68517837962963,27.31203648148148,25.355046841397847,23.369765949074072,22.497338125,22.50853938172043,23.694135185185186,25.51375061356796,27.04993363425926,27.868705017921148,29.36248091397849,29.3473109375,29.121341039426525,28.105757546296296,25.49195067204301,23.706805717592594,23.206279953703703,23.63928566308244,24.284361782407405,25.98455983796297,27.68823055555556,28.96328431899642,28.8527041218638,29.085240689300413,28.556998633512546,27.49631203703704,25.41108678315412,23.83755205938697,24.01626863799283,24.01909818548387,24.035303541666668,26.577066944444443,28.03373951388889,29.36249652777778
Peak Island,1022,PEAKSL1,3190,5.0,Water Temperature,-23.3409,150.937,23-026,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.184117647058823,25.18194193548388,27.108949097222222,28.84035544354839,29.06629334677419,28.84086822916667,26.639837029569893,25.89595256944445,23.051487432795696,20.13314868055556,19.642257862903225,20.24433205645161,21.57227118055556,23.15107997311828,24.941795763888887,25.843571370967744,26.93457597222222,26.901320461309524,27.24442251344086,24.96717340277777,24.30143864247312,20.400699444444445,17.756996639784948,19.6878557123656,21.63719409722222,24.58649556451613,25.444933125,26.869634139784942,26.77378447580645,26.75956199712644,25.245818413978498,24.21116334841629,22.519589247311824,20.90416708333333,19.74232358870968,18.59275349462365,21.74917340277777,23.953496505376343,26.359180625,28.50811995967741,27.898947916666668,27.56445989583333,26.76209495967742,25.70702173611112,22.690670698924727,20.99363701388889,19.614604502688174,20.766591465053764,23.20916763888889,24.149667405913977,25.55656972222222,27.926447446236555,27.93870994623656,27.12229523809524,26.29856680107527,25.156640972222224,23.16578721498372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.06725379380742,20.99061270833333,19.324541845878134,20.12101778673836,21.938481064814816,23.430748812724016,26.27019224537037,27.353129816308247,27.66779655017921,27.97923122605364,27.182441061827955,25.87352976851852,24.30458429659498,21.40225180555556,19.920806832437275,20.21171814516129,22.264351157407408,24.203457526881724,26.04078657407408,27.327306810035843,28.25762338709677,28.681665451388888,28.125738463261648,25.02768902777778,22.87674314535732,20.9401587962963,20.949043503584228,21.43018398297491,22.571703125000003,25.142547916666665,25.20309844907408,27.201492674731185,28.508915658602152,27.71996247519841,27.036587948028675,25.285800185185188,22.93525353942652,20.399268634259258,19.94921803315412,20.10930194892473,21.80143351851852,24.39459655017921,26.208285486111112,26.742527217741934,27.089519780465952,27.616329910714285,27.408957594086026,25.30028944444444,23.135087740113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Keppel Island,1026,NKEPPFL1,3208,5.0,Water Temperature,-23.0864,150.9052,23-004,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4696845505618,26.576149478390462,26.993895356662176,24.942595208333337,24.26682822580645,23.048873734177214,,,,,,,,,,23.70429512195122,22.518607190860216,20.83239013888889,19.70719952956989,18.714641397849466,21.140205694444443,23.349410282258063,25.334159722222218,27.73063057795699,27.5965748655914,27.30376607142857,26.554035416666665,25.57026402777777,23.509221464646465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.76095511551156,20.97972793981481,20.06107114695341,20.103468623188405,,,,,,,,,,,,,,,,,,,,,22.364714177978883,21.321245671296296,19.83212051971326,20.383914852150536,21.987423935185184,23.348136715949824,25.89784766203704,27.13899336917563,27.62122316308244,27.977110201149426,27.283982078853047,26.018780625,24.604470519713264,21.89210523148148,20.56977616487455,20.41228617831541,21.95794164351852,23.88404840949821,25.763829212962964,26.98455174731183,27.869445452508963,28.715163715277782,28.25233189964158,25.194555462962963,23.11744091017964,21.384108055555554,21.37284961917563,21.743961693548385,22.566742152777778,24.666174171146952,25.14081289351852,26.830789404121862,28.13947896505376,27.3987859375,26.972801568100355,25.33953194444444,23.21328873207885,20.73843833333333,20.393977240143368,20.493435976702507,21.74728900462963,23.90663602150537,25.832001828703703,26.464774551971324,26.907252352150536,27.37531723710317,27.0049519937276,25.32495221556886,23.18704101702509,20.80896303240741,20.069916554659496,20.25777466397849,21.69829462962963,23.81902475358423,25.48682055555556,27.234134206989246,27.99508622311828,29.27636431992337,27.171564740143367,26.171946782407407,22.92719458333333,21.289507847222225,19.87287125896057,20.40928814964158,21.75972578703704,23.7196166890681,25.62638548611111,27.091027105734767,27.15994204749104,27.59116396329365,27.71217788978495,25.538892060185184,23.831689552238807,,,,,,,
Pandora Reef,1037,PANSL1,3247,5.0,Water Temperature,-18.8168,146.4346,18-051,HAVANNAH REEF,18065S,-18.85,146.541667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.501856687185224,29.79420438988095,29.958106003584227,25.81262349165597,24.828437656810035,22.629167222222225,22.78119296594982,23.511435775089605,24.89522789351852,26.832785013440866,27.082407685185185,29.297085752688176,29.08673113799283,28.893829191468253,28.08045750448029,27.11152546296297,24.7246372983871,22.5838225,22.39756583781362,23.36778107078853,24.69499053240741,26.127501187275985,28.30118351851852,28.41345741487455,28.190126881720428,28.05896547619048,28.613350403225805,27.01761368055556,24.71408839605735,23.812066666666663,22.007614157706094,22.05105499551972,23.707209796407188,25.71010922939068,27.32254303240741,28.38454867831541,29.9611191016439,30.11793817049809,29.214040277777777,28.06198034003832,24.757757280465952,23.04446520833333,22.110265031362008,22.71107889784946,23.567228975095787,25.89936572580645,27.85737407407408,29.246507258064515,28.51552717293907,29.02813338477366,28.69435114247312,27.22798884259259,25.00200730286738,23.00932964559387,23.07082345430108,23.41501984767025,23.68154959291188,26.100771438172043,28.06675150462963,30.027840120967745
Humpy Island,1039,HUMPFL1,3259,5.0,Water Temperature,-23.2162,150.9638,23-016,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.47832295081967,22.94868212365592,24.5522625,25.642861559139785,26.48757997311828,26.60865699404762,26.97810752688172,24.97183541666667,24.289498655913977,21.044256944444445,18.607940188172044,19.71587096774193,21.06147013888889,23.51437365591397,24.848398611111108,25.48669130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4725919527897,20.407720625,18.90048629032258,19.27249690860215,21.39164939814815,22.815669802867383,24.536141157407407,26.68943378136201,27.72609625896057,27.25983100198413,25.90870342741936,25.1278200925926,23.63039280141844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.053857919400183,22.02628423611112,20.5200102374552,20.34022833781362,21.907199143518515,23.8522710125448,25.715136689814816,26.93252668010753,27.92599639336917,28.65924935515873,28.21280100806452,25.250580555555555,23.355339916963228,21.304730000000003,21.3747,21.868819354838703,22.530916666666663,24.72381612903225,24.979606666666665,26.87717333333333,28.340125806451613,27.485221428571425,26.91971612903226,25.28784827586207,23.19889416076228,20.86167652777778,20.456962141577065,20.51118631272401,21.70740393518518,23.889566666666664,25.95001344907408,26.62965999103943,27.042005510752688,27.56634280753968,27.200286424731186,25.550098873239435,23.195482152370804,20.82558008487654,19.98579751344086,20.20885388291517,21.58426833333333,23.74900140382318,25.47821364969136,27.283891666666666,28.00252166218638,29.288522717113665,27.161077822580644,26.148212378716742,23.037441917808216,21.268569375,19.88220047043011,20.3420122311828,21.639263171296296,23.68325071684588,25.615362569444443,27.176212880824373,27.07215060483871,27.523812371399178,27.6707514560932,25.52002347222222,23.12450338261649,21.26276115900384,20.217130129928314,20.59244943996416,21.599755483716475,23.98425524193548,25.897215648148148,27.8062436155914
