site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Dunk Island,1005,DUNKFL1,3168,3.0,Water Temperature,-17.9263,146.1461,17-053,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.888348,27.717713194444443,28.558405913978493,28.7998064516129,29.64864732142857,28.68419018817205,26.91530625,25.11220564516129,23.870825694444445,22.429832661290323,22.00984946236559,23.998086805555552,26.4938622311828,28.495070833333333,28.83478561827957,29.70634206989247,30.15684449404762,28.42237231182796,27.43901041666667,25.22819188191882,,,,,,,,,,,,,,21.28208573770492,23.25210389784946,25.44431965277778,27.346005241935487,29.064818472222225,30.55359415322581,30.940260147849465,30.432759841954024,28.476101478494623,27.733115277777777,25.66113360215053,24.054370625,22.93297050408719,21.90370866261398,24.37456701388889,26.452602620967745,28.140596944444447,29.296662029569887,28.799903965053765,28.30710461309524,28.58527661290323,27.886640208333336,24.992304569892468,23.68617055555556,23.76982462686567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.854223266219243,24.836104323476704,27.214604421296297,28.72525613799283,29.23351238799283,29.192171360153257,28.96441146744412,,,,,,,,,,,,30.18179553903346,27.497312546296296,25.084587768817205,22.864105115740745,23.17978140681004,23.79783508064516,24.969748027784668,26.86669744623656,27.50478953703704,29.40894191308244,29.15552766577061,28.8569824940048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitzroy Island,1011,FITZFL2,3175,3.0,Water Temperature,-16.9233,145.9963,16-054,FITZROY ISLAND REEF,16054S,-16.925,145.983333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90124438202247,27.64232986111111,28.179198924731185,28.48014717741935,29.37121577380952,28.63110349462365,27.00679513888889,25.414829301075272,24.16978333333333,22.86005581708137,22.41221303763441,24.00519930555556,26.42232056451613,27.79293393602225,29.074532930107527,29.082368951612903,29.721139880952386,28.451416666666667,27.506609451007645,25.22637679892401,24.025444027777777,23.998260013440863,24.237677889784948,25.14267055555555,26.177416801075264,28.433713263888887,29.221241532258063,30.95147063172043,30.04059352678572,30.063062432795697,28.07205215277778,27.371837432795697,25.109204583333334,23.53267184139785,23.994181451612903,25.47116375,27.177736155913976,28.803240347222225,29.92605263888889,30.67962345430108,30.73272679597701,28.74650524193548,27.865419652777778,26.21304159946237,24.63250076388889,23.598686693548384,23.70671686046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.61997723577236,22.68743965277778,21.83054043458781,22.361026209677416,23.38634238425925,25.68057827060932,27.24373083333333,29.001238732078853,29.13427755376344,29.7434070881226,28.797816465053764,27.14350805555556,25.15460414426523,22.87788087962963,21.8931619623656,22.98338773148148,24.640627407407408,25.741140434587816,27.303631203703706,28.570183714157707,29.27331534498208,30.1113796875,29.08053353494624,27.20728928240741,25.614202464157703,23.740244328703707,22.646405667562725,23.62161293981481,24.81601710648148,26.814465994623653,27.859005324074072,28.31288373655914,29.220542562724017,28.791467063492064,28.00671628584229,27.580016064814817,25.79649280913978,24.6477252997602,,,,,,,,,,,,,,23.22322791193182,,,,,,,29.00611186440678,28.14797398802396,26.898372043010752,25.954634375000005,24.499884560185187,23.50629858870968,25.268529212962964,26.791980533154124,28.00042895833333,28.96452231182796,30.005454681899646,29.956903472222223,30.13853767361111,27.71213671296297,25.29437175179212,23.37404340277778,23.467523947132616,24.14126382168459,24.83985358471844,26.585743167562725,27.39570819444444,28.91775051523297,29.04638725358423,29.134836507936512,28.35158501344086,27.371735416666667,25.356555958781364,23.618325877192987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankland Islands,1013,FRNKFL2,3176,3.0,Water Temperature,-17.227,146.0904,17-012,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.601381458966564,24.748476250000003,26.991705040322586,28.72126381944444,29.403451680107526,29.82939301075268,30.4563765625,28.982985282258063,27.955256875,25.60877145833333,23.51261666666666,23.38282701612903,23.65291075268817,24.617705277777773,25.62673232526882,27.612420555555552,28.59165120967742,30.101855645161287,29.223297172619045,29.40635322580645,27.596551597222224,26.93747580645161,24.508006527777777,22.707248185483863,23.30377264784946,24.96383777777778,26.56693353494624,28.14742645833333,29.29972553475936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.517583182595946,24.83156664351852,25.097618036582546,27.232891134259265,28.541522289426524,29.12565967741936,29.322913481800768,29.31925924982635,28.14644606481481,26.923016554659498,25.775364212962963,24.36995526905829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willis Island,1032,WILLFL2,3215,3.0,Water Temperature,-16.2897,149.9649,,JAGUAR REEF,18120S,-18.983333,148.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.51353007228916,27.27602726851852,27.80880152329749,29.24311021505376,29.50409662698413,29.03878799283154,27.791571597222223,27.047277598566307,25.83078560185185,25.57780954301075,24.82165210573477,24.806267569444444,26.353372603046594,27.203261319444444,28.207325336021505,28.896276612903225,28.8705347718254,28.70400327060932,27.578026604406134,26.75731857078853,25.728363263888888,25.11733120519713,24.931415255376344,25.41757909722222,26.0793976030466,27.520556226851856,28.960909408602152,28.142902576164875,28.3952293154762,28.532506563620075,28.024907337962965,26.704903203405017,25.255310751915708,24.9555890905018,24.95121117831541,25.048255740740743,25.397072759856627,26.52886543981481,27.75872600806452,28.95565416666667,29.937085656130268,30.520487424242425,,,,,,,,,,,,,,,,,,,,,
Chicken Reef,1047,CHIFL1,2724,3.0,Water Temperature,-18.6534,147.7199,18-086,CHICKEN REEF,18086S,-18.658333,147.708333,28.02172043010753,28.213869047619045,27.295335276967933,,,,,,,,,,,,,,26.894440063091483,25.520785267546906,24.46234700739744,24.425803631472764,25.42432638888889,26.6727620967742,27.501451388888885,28.151666666666664,28.78106182795699,28.781711309523807,28.431827956989245,27.23038074712644,25.65609543010753,25.04471160528144,23.729724462365592,23.153030913978498,23.82733148019458,25.12512786002692,26.47830555555555,26.838279569892475,28.109159381304647,28.125847701149432,27.825295698924737,27.048069444444444,26.11026315789474,,,,,,,,,,,,26.682940469208205,25.38864034722222,24.23974127946128,24.12998653198653,24.755731736111112,25.98958817204301,27.51410319444445,28.712630800269,29.18168567585743,29.31292615740741,28.461921841397853,27.36472513888889,26.436361144781145,25.003406184850583,23.57665228494624,23.50469616935484,24.25855,25.17828461021506,25.955268589298125,27.29441579301076,28.000121370967737,28.626663169642857,28.21644923611111,27.70402293259208,26.030252688172045,25.14490208333333,24.06160080645161,23.827399193548384,24.362314583333333,25.448530241935483,25.95836319444445,27.679520161290323,28.754578629032256,28.89675431034483,28.42560685483871,26.788728682170547,,,,,,,,,,,,,25.98711059479554,24.700210416666668,23.885764112903225,23.51092338709677,24.048186111111114,25.82076866173504,27.15481167477415,28.29595430107528,28.63065188172043,28.976834821428568,28.313586693548388,27.57186439499305,25.793209145931407,24.49279722222222,23.7540120967742,23.4884495967742,23.822318965517244,24.77691216397849,26.51902708333333,27.5136438844086,28.67590100806452,28.47165275297619,28.487367540322577,27.05003652777777,26.573125473933644,25.55787042801557,24.552851545698925,24.42550302419355,25.456359027777783,26.745644086021507,28.13926319444444,29.544798655913976,29.910321438172044,29.843766307471267,28.46907063172043,27.537074166666667,25.97722829301076,24.96843479166667,24.06104227150538,23.84178487903226,25.035041041666663,26.62017547043011,28.05539243055556,29.739617002688167,29.57637540322581,29.528584672619044,28.62266982526881,28.26056836734694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.54591,24.44695333333334,24.540270000000003,24.71014193548387,24.79418333333334,25.64013225806452,26.550216666666667,28.334579999999995,28.656793548387096,28.46830357142857,28.1186,26.64031489361702,25.66422197580645,24.128268958333333,23.83277659050179,24.041128875448027,24.57361657407408,25.606207056451613,26.97064409722222,27.85084314516129,28.051173745519712,28.319884796626983,28.159271102150537,27.28870127314815,26.097300963261645,24.524889675925927,23.47653429659498,23.348022647849465,23.704096064814816,25.10170365143369,26.33592703703704,27.51630394265233,28.636091890681005,29.54445574712644,28.57545400985663,27.78643976851852,26.206915120967743,24.92198037037037,24.083058848566303,24.00282594086021,24.741004583333336,25.519105152329747,26.841052847222223,28.12817885304659,28.289067383512545,28.49810758928572,28.29671755319149,,,,,,,,,
Clerke Reef,1056,CLERKE_C13_BT,15005,3.0,Water Temperature,-17.3123,119.3679,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97587124542124,30.33147006944445,28.693153293010752,26.99029708333333,25.770845878136203,24.765411312724016,25.34606548611111,26.692953125000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuare Reef,1077,TUARFL1,3764,3.0,Water Temperature,-5.0901,150.1918,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.73590228426396,29.889276747311825,29.579360694444443,29.545789986559143,29.46200806451613,29.913073194444447,30.41954623655914,30.56005125,30.58376310483871,30.30585544354839,29.918605729166664,29.728020698924727,30.27228298611111,29.549551939655167,28.59795201388889,28.14821512096774,28.03097284946237,27.876090069444444,28.327607997311823,28.92230298611112,28.99392177419355,28.176315053763435,27.84716674107143,28.01091162634409,28.65252466367713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motupore,1101,MOTOFL1,4019,3.0,Water Temperature,-9.5222,147.286,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.012433688524588,31.450773521505376,30.18335555555556,28.191364247311828,27.535612916666665,27.525092540322586,26.991290793010755,27.956419166666667,28.91050880376344,30.701111805555552,31.871214285714288,31.08809946091644,30.57009196428572,30.38730342741935,30.87708928571429,28.451461431226768,27.775676597222223,26.411145698924727,26.31828346774193,26.795579930555554,27.44858850806452,28.40324743055556,29.552152083333333,28.86146444892473,28.75818713592233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bougainville Reef,1123,BOUGAINVILLEFL1,5366,3.0,Water Temperature,-15.4877,147.1177,,RIBBON NO 3 REEF,15050S,-15.483333,145.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.04764308176101,28.12960638888889,29.65385403225807,29.5232021953405,29.11351639384921,28.595723364695345,28.064585833333336,27.267940412186384,26.61973129789272,26.011270161290323,25.58977791218638,26.12415912037037,26.45339005376344,26.84702557471264,28.570512992831546,28.901827956989248,29.461163194444445,29.53798835125448,28.557997685185185,27.8544041218638,26.79478935185185,26.334742383512545,26.30517249103943,27.006939814814817,27.52918906810036,27.754598321342925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.094478246753244,25.38581335648148,26.39715934139785,27.43289229166667,28.099294578853048,28.826308893369177,28.406506125992067,28.03394133064516,27.89369800925926,27.123843257168456,26.285133750000004,25.11154218189964,24.96029119623656,24.92572428240741,25.494056227598566,26.76551972222222,28.504205793226383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-104 Reef,2564,20104FL1,12203,3.0,Water Temperature,-20.0286,149.6933,20-104,20104S,20104S,-20.033333,149.683333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01965013333333,28.790804659498207,26.932869166666663,25.39249202508961,23.79006703703704,23.49168850806452,23.46947529121864,24.054965324074075,25.545899059139785,26.11606460648148,27.271559027777776,28.13740376344085,28.226351909722226,27.87502580645161,26.738651481481483,25.224630600358424,23.47025340277778,22.59790987903225,22.77131487455197,23.52537657407408,24.788511805555554,26.55309347222222,27.4629666890681,27.39936796594982,27.647089558531743,27.90749117383513,26.87503564814815,25.389361536738352,23.64876155092593,22.619758579749103,22.353009722222225,22.858002939814813,24.43207002688172,25.83928365740741,27.294963575268817,28.17125067204301,29.34426470306513,28.36061931003584,27.337573125,25.37561742831541,23.79407803240741,22.63320678763441,22.58615302419355,23.24412886574074,24.66500416666667,26.162526296296296,27.42462240143369,27.731490568996417,28.12547130242825,,,,,,,,,,
