site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Fitzroy Island,1011,FITZSL2,3174,6.0,Water Temperature,-16.9231,145.9963,16-054,FITZROY ISLAND REEF,16054S,-16.925,145.983333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.939584269662927,27.723469444444447,28.262793682795696,28.562104166666668,29.41218005952381,28.764011424731184,27.168967361111108,25.571012803234503,24.333729166666668,23.01764852150537,22.5799375,24.12603611111111,26.509570564516125,27.92781666666667,29.21302083333333,29.218058467741933,29.845343750000005,28.643501344086022,27.65775138888889,25.43422036136205,24.012878194444447,23.96244334677419,24.22010752688172,25.12714381944445,26.149180040322584,28.367825416666665,29.19196169354839,30.92188924731183,30.03999665178572,30.072556720430107,28.133950694444447,27.4304188172043,25.17350430555556,23.549704166666665,24.02388467741936,25.51030020833333,27.181830241935483,28.83465895833333,29.703450833333328,30.075823924731186,30.12824597701149,28.269181989247308,27.41673888888889,25.806182190860216,24.240849722222222,23.222581384408603,22.33990143678161,24.46703645833333,25.95045551075269,27.66836451388889,29.356799059139785,28.950417876344087,28.665564434523805,28.455400470430103,27.84993138888889,25.50397237903226,24.14114625,23.8190498655914,23.18116737451737,,,,,,,,,,23.8776224137931,23.70409576612904,24.59060156810036,25.941282314814817,26.699827175925925,27.29042129629629,29.17786514336917,29.60222894265233,28.9488194595616,28.563739330197134,26.695538703703708,24.75115504032258,23.00342136302294,,,,,,,,29.8000408,28.824772468637992,27.14189861111112,25.15514610215053,23.09484184981685,,,,25.59693697278912,27.04812506944445,28.363402889784947,29.067618503584228,29.89519480452676,28.66227464157706,26.895706435185183,25.39202027329749,23.54931192528736,22.50455468189964,23.483356093189965,24.690670046296297,26.274411594202896,,,,,,,,,,,24.936759176029963,25.400509408602154,27.200141087962965,28.858432549283155,29.21400194892473,29.082549434156377,29.009807974910395,28.30608351851852,26.33757800179212,24.423573587962963,23.309051478494624,23.493076180555555,24.923355300925927,24.77272688933873,,,,,29.10278666666667,28.06960148148148,26.83849758064516,25.910259745370368,24.52791131944445,23.57564563172043,25.24895539351852,26.798673912037035,27.937358472222225,28.92429211469534,29.934005197132613,29.970429290674605,29.67943843283582,,,23.44827987804878,23.479074775985666,24.134923140681003,24.83805150086827,26.544696079749105,27.35652166666667,28.86396615143369,29.00100593637993,29.0817237458194,28.3349747311828,27.370350972222223,25.377231563620075,23.59967412280702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Keppel Island,1026,KEPSL1,2906,6.0,Water Temperature,-23.0852,150.9017,23-004,MAST HEAD REEF,23069S,-23.541667,151.733333,26.37502688172044,27.52986607142857,26.1351747311828,24.716119610570235,22.70436034115139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09803485130112,18.54886034946237,19.778008534946235,21.046184027777777,23.376659005376343,24.768586875000004,26.4112370967742,26.56506962365592,26.5791890625,25.159033938172044,24.21631201388889,23.21023313172043,23.196785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid Reef,1054,MERMAIDLAGSL1,3673,6.0,Water Temperature,-17.0755,119.646,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.350427678571428,31.21740268817204,31.070219623655912,30.562840086830683,30.6790184811828,31.488487291666672,30.102180981182794,28.24809833333333,26.95707849462365,26.234975537634405,26.949095277777776,28.43954012096774,28.52219104166667,28.47894677419355,29.170989314516127,29.275175892857145,29.706653763440865,30.138603819444445,28.21586122311828,27.100432548701296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.852186215753424,28.95107133620689,30.154927956989248,30.911751493055554,29.774193010752693,28.58484138888889,27.82484936155914,26.637814650537635,26.727711875000004,28.36718914650537,28.66254548611111,29.606799798387097,29.05493760080645,28.61100305059524,29.782073387096776,29.490362534722227,28.81888625672043,27.25620881944445,26.334456586021503,25.64101317204301,26.303811006944443,27.067833232526883,28.45906769230769,30.15255170250896,30.18970526433692,29.61958345734127,29.937161738847283,30.279028032407403,28.79184504928316,26.95303421296296,25.91678487903226,24.76401547939068,25.55200537037037,26.420536221590908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clerke Reef,1056,CLERKELAGSL1,3675,6.0,Water Temperature,-17.2838,119.3704,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.544430626118064,29.39303015232976,28.020558046296298,27.060571827956988,26.475426267921147,26.96506229166667,28.432349050179216,29.033992833333333,29.865182965949817,29.25774357526882,28.82827807539682,29.94516660394265,29.44502407407408,28.464237795698928,26.83708580555556,26.024642410394268,25.550618091397848,26.227079171296296,27.189974883512548,28.19827882768362,29.920748521505377,30.08440434587814,29.58128067956349,29.89098090659341,30.275885902777777,28.69064632616488,26.999331875,25.75584921594982,24.759659363799283,25.24694275462963,26.600145833333336,,,,,,,,,,,25.97928097014925,26.588700336021503,28.261157291666667,29.65253113799283,29.456881339605733,29.340470019157088,29.87119124103943,30.15980101851852,29.01835073924732,27.40168657407408,26.54137605286738,25.799768125,26.514452523148147,26.997454614695343,28.307627731481485,29.196825313620074,30.10839260752688,29.34963395337301,29.65337146057347,29.67145287037037,28.60500134408602,27.159349212962965,26.22364708781362,25.964115143369177,26.45564141260163,,,
Northeast Reef,1060,NESL1,3038,6.0,Water Temperature,-18.5717,146.4951,18-049,FANTOME (EUMILLI) ISLAND REEF,18053S,-18.675,146.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.83858690987125,27.175183333333337,25.637646940147945,24.03130833333333,22.317778225806457,22.53390524193549,24.00935277777777,25.69843981170141,27.03884513888889,28.27130376344086,28.719459005376343,29.518994791666664,28.82177822580645,28.027534722222224,25.273400134498992,24.065379861111108,22.68565322580645,23.12683467741936,24.37893893678161,26.265290322580647,27.000187500000003,28.43683870967742,29.21169422043011,28.92403448275862,28.8694065860215,26.70876511466296,25.621881720430107,23.59814375,22.56032795698925,23.10098319892473,23.894622222222218,25.670103030303032,27.14037526059764,28.178441532258063,28.854453629032257,29.33056950672646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.277810053380783,27.17254458333333,26.33379590053764,24.37814618055556,22.918857795698923,21.698547394366194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperieuse Reef,1134,IMPERIEUSE_RS3_1_6m,15004,6.0,Water Temperature,-17.5479,118.9735,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0604075877193,29.278869982078856,28.014630583333336,27.329170967741938,26.374674108422937,26.729859921296296,27.67251870967742,28.541585148148148,29.510802562724017,28.959402652329747,28.43771267361111,29.68811296594982,29.233725745370368,28.426031818996417,27.18286140277778,26.087236505376342,25.57267053763441,25.927119013888888,26.76191802867384,27.499594468085103,,,,29.830202540650408,30.18380671296296,28.49083160842294,26.929057175925927,25.584676321684583,24.715848095878137,25.10907175925926,26.36658184523809,,,,,,,,,,,,26.727370364583333,27.94376145833333,29.72851491935484,29.63609417562725,29.03912782567049,29.98770927419355,30.34965768518519,28.68519047939068,27.137881712962965,26.216380667562724,25.69944679659498,26.627420625,26.56167820340502,27.91482766203704,29.133324551971327,30.0957939516129,29.371082291666664,29.39518854166667,,,,,,,,,
Linnet Reef,1995,LINNETSL1,10195,6.0,Water Temperature,-14.7852,145.3554,14-126,LINNET REEF,14126S,-14.783333,145.341667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.16537796610169,25.821874398148147,26.9747920250896,27.985535300925925,28.685856518817204,29.781400067204306,29.65184060019841,30.00710546594982,27.976828310185187,25.715926478494623,23.86146525462963,24.08094303315412,24.442556899641577,24.546704004629632,26.43281785394265,27.48195511574074,28.742867965949824,28.838188239247312,29.022740525793647,28.54340327060932,27.51078787037037,25.528047356630825,23.70964685185185,23.58161066308244,24.004535775089607,24.59187335648148,25.769693593189963,27.36425928240741,28.695553233830847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erskine Island,3121,ERSKSL1,13895,6.0,Water Temperature,-23.4983,151.7747,23-068,ERSKINE REEF,23068S,-23.508333,151.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.453721347565047,24.48846157407408,26.002705734767027,27.39882741935484,27.20879977678572,26.826395295698926,25.74236578703704,24.05951314964157,22.20279016203704,21.736354457885305,21.439006451612904,21.86030560185185,23.049675,24.778657129629632,25.85737842741936,26.52433790322581,27.09783993055556,27.034891442652327,25.70064763888889,23.963508646953404,22.131697754629627,21.437016845878137,21.20337656810036,21.99814115740741,23.06817439516129,24.635445115740737,26.53167004928316,26.624273626373625,,,,,,,,,,,,,,,,,,,,,,,
Cattle Bay,856,CBSL1,2784,6.0,Water Temperature,-18.5691,146.482,18-049,FANTOME (EUMILLI) ISLAND REEF,18053S,-18.675,146.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.361121994134898,23.367328125,25.75834798387097,27.322932222222224,28.5807935483871,28.39422493279569,28.08285602678572,28.43107331989247,27.677143333333333,25.2374749327957,24.03958153266332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raine Island,857,RAISL1,2682,6.0,Water Temperature,-11.5897,144.031,11-243,RAINE REEF,11243S,-11.6,144.025,,,,,,,,,,,,27.696126062322943,28.21382392473118,28.763824404761905,28.27467069892473,27.76434722222222,27.521263440860213,26.333631944444445,25.561478494623657,25.49215198386012,26.14795833333333,27.03889112903225,28.025880204528853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
