site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Middleton Reef,1000,MIDTONLAGSL1,3148,4.0,Water Temperature,-29.452,159.1005,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,1,1U,2L,2L,2L,2U,3U,4L,3U,4L/4U,4L,4L,3U,3U,4L,,2U,1U,,1U,1U,2L,,3L,3L,3L,3U,3U,4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2841,24.4114995967742,23.34582861111111,21.647848790322577,20.040966666666662,19.79826317204301,19.22766438172043,19.75679708333333,19.76153494623656,21.022310277777777,21.89597190860215,23.4441254032258,24.80766221786065,25.505298521505377,24.453701597222224,23.1883875672043,22.28127138888889,20.78347184139785,20.322036760752688,20.73718770833333,21.895346639784947,23.38031951388889,24.979624731182792,25.277459072580648,25.754048563218387,24.7965995967742,23.69666805555556,22.181830779569893,20.91101145833333,20.4630120967742,19.672051747311823,20.395001458333333,21.69576818181818,21.07867680555556,22.85643978494624,23.52477076612904,24.60419270833333,25.00047715053764,23.92170048611111,21.69527943548387,20.41679770833333,19.759944825268818,19.41734704301076,19.462521041666665,20.372839852150538,22.406981597222224,23.992511559139786,25.71062372311828,25.741479166666668,24.470769825268817,23.98113618055556,22.773899126344087,22.03949583333333,19.85091491935484,19.75574583333333,19.958747247706423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Reef,1004,ELIZLAGSL1,3182,4.0,Water Temperature,-29.9377,159.0934,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,1,1U,2L,2L,2L,2U,3U,4L,3U,4L/4U,4L,4L,3U,3U,4L,,2U,1U,,1U,1U,2L,,3L,3L,3L,3U,3U,4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22414327272727,24.045113709677416,23.02210263888889,20.824000537634408,19.57190680555556,19.36051491935484,19.17970793010753,19.701195138888888,19.8079561827957,21.336748611111112,21.88517137096774,23.62642204301075,24.42549577142857,24.347175134408605,22.85727784722222,21.670382728494623,20.62896138888889,19.21407715053764,19.102882594086022,19.473657916666667,20.70999758064516,22.13577555555556,23.96370551075269,24.21852936827957,24.39742370689655,23.35271693548387,22.24206131944444,20.85583481182796,19.80717708333333,19.269869153225805,18.92290120967742,19.407247361111114,20.07199357034796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.454670557156582,23.00698909722222,21.218906698028672,19.9101899537037,18.82695911738352,18.917311472103968,19.74724078703704,20.079626702508964,21.990372962962965,21.56555801971326,23.36386068548387,24.385177394636017,23.4109063844086,22.17536247685185,21.13050011200717,19.79998502314815,18.567077665770608,19.1030292562724,19.871141041666668,20.439365681003583,21.20668372685185,23.31383494623656,24.38059271953405,24.092794320436507,23.69972379032258,22.8157000925926,21.29951765232975,20.187024953703705,19.258098790322578,19.46810640681004,19.9388632175926,20.36747116935484,21.167920648148147,22.04163125,23.3940288530466,23.44196840277778,23.12643470948012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Island,1009,HIGHFL2,3179,4.0,Water Temperature,-17.1622,146.007,17-009,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,1,,,2L,,,1U,,,1L,,,2L,,1U,,,,,,1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.882448860182368,27.1508872311828,28.85935013888889,29.32971948924732,29.89274616935484,30.533880580357145,28.892897782258064,27.844575972222223,25.427238819444444,22.94685840277777,22.2546126344086,22.47935940860215,23.595634375,24.71877184139785,26.59684506944445,27.6405498655914,29.06494233870968,28.04517261904762,28.361377486559142,26.47374305555556,25.922027486559145,23.356350416666665,21.388827889784945,22.35790114247312,24.192666666666668,25.86096774193549,27.51881770833333,29.15352020833333,30.01771330645161,29.88617320402299,28.20922587365592,27.372350277777777,25.64769448924732,24.033225625000004,22.98406649797571,22.65558460854093,25.39805631944445,27.168935887096776,28.64295,29.789825873655914,29.749302688172044,29.39594494047619,29.46475201612904,28.778333333333336,25.99379838709677,24.67824347222222,24.06265443548387,23.71050870445345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.253779984798584,24.83129280092593,24.74383141025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Keppel Island,1026,NKEPPFL1,3208,4.0,Water Temperature,-23.0864,150.9052,23-004,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.34744731543624,21.38777766203704,20.219687096774194,20.95744599014337,22.881066064814817,24.16346729390681,25.13711289351852,27.35908313172043,27.915863463261648,27.33899243551588,26.522439964157705,25.373996203703705,23.45308328853047,20.79024281609196,20.391107930107527,20.239061178315414,22.24884719907407,23.297636984767028,24.40953076388889,25.87348340053764,27.301907571684584,27.699225223214288,26.969320340501792,24.672612291666667,22.29359956018519,20.24474423611111,19.181540748207883,19.63236995967742,20.73943474537037,22.96630147849462,25.836362847222222,26.42988496863799,26.6770876344086,28.07889932950192,26.865613552867387,25.07664300925926,22.779067786738352,20.172605625,18.975508042114697,19.283810976702508,21.493418032407405,22.84413219086021,24.638157384259262,26.635275492831543,27.66314106182796,27.05759134424603,25.71291079749104,24.924579791666662,23.310374581724584,,,20.978857551020408,22.2357863425926,24.34140737007168,25.747605625,26.66193958333333,27.22063268369176,26.289610987103178,25.948797356630823,25.87020993055556,25.337054385964915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humpy Island,1039,HUMPFL1,3259,4.0,Water Temperature,-23.2162,150.9638,23-016,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.44550819672131,22.9109375,24.512642807505213,25.59222595830532,26.454986559139787,26.559776785714284,26.94195362903226,24.925478775226164,24.239836583725623,20.982379430159835,18.56395228494624,19.67464314516129,21.03131849791377,23.489211693548388,24.79795062586927,25.45696949891068,,,,,,,18.74773970588236,18.79333245967742,21.03130833333333,23.318640255376344,25.429120763888893,27.767591599462364,27.60346384408601,27.34693638392857,26.60277096774194,25.57938118055556,22.86442843064276,21.47952409722222,20.238232571684588,20.843054883512544,22.87476050925926,24.01667253584229,25.14404189814815,27.315421191756275,27.83132352150537,27.30726850198413,26.48320369623656,25.36038800925926,23.296379817470665,21.10533150462963,20.41637856182796,20.350444534050183,22.12587291666667,23.19824386200717,24.38298613425926,25.91040799731183,27.291206160394267,27.612951066468256,27.025502329749106,24.726711041666665,22.12134488425926,20.34894402777778,19.130153741039425,19.4914665546595,20.53183111111111,22.723804749103945,25.572450277777776,26.380236447132614,26.548406877240144,27.91407686781609,26.87047054211469,25.085294513888886,23.75108346456693,,,,,,,,,,,,21.943357533333334,21.055758009259257,20.01106090949821,20.645636424731187,22.25614048611111,24.307381362007167,25.740267361111112,26.595939112903224,27.31230853494624,26.306113293650792,25.94761615143369,25.87741587962963,24.16669652805881,21.33105527777778,19.23010098566308,19.29952083333333,20.551100648148147,22.763493167562725,25.024106875,26.86085176971326,27.920414045698926,27.03647896825397,27.768574238351253,26.182198865740737,23.37554057506328,21.12039849537037,19.654018772401432,20.188448947132617,21.67528787037037,22.98408125,25.60282405092593,26.926299126344084,27.251774843189963,27.82714971264368,27.057088888888888,25.90029138888889,24.68865015375154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren Island,1041,BARRFL1,3119,4.0,Water Temperature,-23.1578,151.0707,23-031,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.127208381502893,23.93105625,22.32000631944444,20.88667432795699,20.619319086021505,22.24920958333333,24.33470389784946,26.74871770833333,28.6941061155914,29.32077688172043,29.05985513392857,27.17952822580645,26.255218819444448,24.00127553763441,21.29493534722222,20.54607251344086,20.701958333333334,21.2987308908046,22.68159811827957,24.223063933287005,25.289629032258063,26.221637768817207,26.568183035714284,26.8802620967742,25.08833680555556,24.393439811701413,21.51993611111111,19.0738938172043,19.78409072580645,20.86637361111111,23.19645417789757,24.462647916666665,25.322491304347825,,,,,,,18.957726724137927,19.06401868279569,20.91628229166667,23.03672103494624,25.19856027777778,27.736181518817205,27.510111088709674,27.175986160714285,26.52487130376344,25.505618194444445,23.59507746636772,,,,,,,,,,,,,,,,,,,,,,,,21.82144390402076,20.87132534722222,19.266927889784945,19.639672468638,20.39684666666667,22.445503897849463,25.08877178240741,26.084503337813626,26.224783960573475,27.65476111111111,26.8503265905018,24.932744722222225,23.854855579710147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Reef,1060,NEFL1,3682,4.0,Water Temperature,-18.5718,146.4947,18-049,FANTOME (EUMILLI) ISLAND REEF,18053S,-18.675,146.516667,,,,1U,2L,2U,,1L,1L,,1L,,,,1L/1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.37666645907473,27.20340583333333,26.35603373655914,24.35465402777778,22.79532694214876,22.03115295735901,24.63554715277777,26.85798340053764,28.326169583333336,29.7219501344086,29.38002815860215,29.238818824404763,29.26645235215054,28.51787291666667,25.997525268817206,24.512835694444444,24.16363877688172,24.27440813172043,25.85368013888889,26.69064784946237,27.24914180555556,28.983159475806445,29.551843615591395,29.757129389880955,28.85240067204301,27.33069638888889,25.866657152588555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.409278958785247,25.247153078703704,23.87836218637993,23.18551521057348,24.61490131944444,26.58422741935484,27.614846458333336,28.95915721326165,29.84359708781362,29.87592336309524,29.90823369175627,27.49467078703704,25.21531711469534,23.231262546296293,23.1480105734767,23.87936875,24.984279212962964,26.507911491935484,27.14437585648148,28.929261984767024,28.970652956989248,28.86040597718254,28.24738149641577,27.312937546296293,26.410036956521736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelican Island,1065,PELFL1,3120,4.0,Water Temperature,-23.2397,150.8742,23-017,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43758,25.057821303763443,27.06459236111112,28.716964180107528,28.955604166666667,28.79806436011905,26.54610060483871,25.85120493055556,22.89713313172043,19.98770868055556,19.57860725806452,20.2867438844086,21.652600359195404,23.21024865591398,24.916651388888887,25.865118951612903,26.983510080645164,26.605662202380948,27.01704838709677,24.726647222222223,24.0087560483871,20.057583333333334,17.719569892473118,19.57398790322581,21.47013055555556,24.26827620967742,25.17951875,25.89988478260869,,,,,,,,,,,,,,,,,21.682902433090028,20.87941805555556,19.50601137992832,20.860419914874555,23.11322601851852,24.142829211469536,25.51608599537037,27.819033355734764,27.85770400985664,27.18219732142857,26.39558702956989,25.293557916666664,22.549582958686955,20.32032828703704,19.90049327956989,20.019462410394265,22.33507761574074,23.374969959677426,24.619959421296294,25.938988463261648,27.21825497311828,27.685002157738097,26.940766957885305,24.525153935185184,22.255940417036378,19.67340949074073,18.62620356182796,19.475400336021508,20.95740039351852,23.2929183467742,26.39310814814815,26.52862970430108,26.9333166890681,28.32001834291188,26.826616106630823,24.95770824074074,22.54724646556385,19.37630351851852,18.49611924283154,19.190543503584227,21.88611185185185,23.180934184587816,25.1128975,27.141139650537635,27.90193154121864,27.183707886904763,25.7437163530466,24.95539435185185,23.097097836879435,,,,,,,,,,,,22.29019650368034,20.77534719907408,18.380365322580648,19.18149079301076,20.97168858796296,23.67735152329749,26.335730972222223,27.961296281362007,28.816474865591395,27.452109995039685,28.20700125448029,25.665352453703708,22.689425058554647,20.7668119212963,19.152395788530463,20.05010150089605,21.84866145833333,23.402404861111112,26.212245092592592,27.24321321684588,27.62284937275986,27.94987507183908,27.071104547491043,25.627260347222222,24.408443373493974,21.15914,19.91634,20.4252935483871,22.62640333333333,24.222861290322587,25.82711666666667,27.261360000000007,28.61276451612904,28.89118571428571,27.99237419354838,24.87784,22.789510000000003,21.003373333333336,21.10701935483871,21.525354838709674,22.45150344827587,25.19962580645161,25.570616666666663,27.38296129032258,28.315803225806444,27.60301851851852,27.17023870967742,25.461213333333333,24.2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylphs Hole,1117,SYLPHSFL1,5334,4.0,Water Temperature,-31.5203,159.0547,,LADY MUSGRAVE REEF,23082S,-23.908333,152.408333,1,1U,2L,2L,2L,2U,3U,4L,3U,4L/4U,4L,4L,3U,3U,4L,,2U,1U,,1U,1U,2L,,3L,3L,3L,3U,3U,4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.38206112737921,22.216547152777785,18.98648505824373,18.56635243055556,17.54364036391594,18.14431507100321,18.917687411703348,19.76015974842767,22.613841041666667,24.31870116487455,25.986366868279568,25.561093948412697,24.54654952956989,23.3680271620487,19.529812688172044,18.255118842592594,17.964138570147917,18.49613551569507,19.26776634259259,19.03026173698384,20.84142844907408,23.540107728494625,24.759513328853046,25.44315451388889,23.98939937275986,22.32276638198908,20.14474599014337,18.661300601851853,17.65283892329681,17.66200329227854,18.733899142724745,20.18857670250896,22.33230668981481,21.98959771505376,22.945613284050182,24.789819228927204,23.52940987903225,21.59142793744443,19.914710103046595,18.46549868055555,17.614426457504102,17.49643279490945,18.499148283261803,19.013640596947937,20.951269884259258,23.27906274641577,24.75401471774194,24.012998933531744,23.28170210573477,22.30080986111111,20.14191931003585,18.71864500261643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.607266893039053,24.514219802867384,24.19620625,24.0702502688172,22.913091666666663,20.15608360215053,18.04180605073307,17.632960054719565,17.7058502994012,18.62420985130112,20.43572741935484,21.590512962962965,23.046341218637995,25.72807508960573,25.088666567460315,24.726272684085515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes Reef,1122,HOLMESFL1,5364,4.0,Water Temperature,-16.4674,147.8724,,NOGGIN REEF,17008S,-17.133333,146.466667,,,2L,,,2L,,,,2U,,,,,1U,,2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.989442179487177,27.591674398148147,29.36649215949821,29.0879979390681,28.891658779761904,28.19005790770609,27.87331180555556,26.58256966845878,26.001358429825967,25.539201792114696,24.90287571684588,25.465115185185184,25.943563239247315,26.546829440713296,28.361348566308244,28.68894489247312,29.301765873015874,29.37918906810036,28.318347222222226,27.68051075268817,26.758569444444447,26.06336693548387,25.807076612903224,26.56774537037037,26.973687924806,27.58053733796296,29.031027150537632,29.140518548387096,28.41492884424603,28.83200201612903,27.81537375,26.63449112903226,24.961817060185187,24.47830116487455,24.598707750896057,24.769407407407407,25.9584333781362,27.36348192129629,28.805594354838707,28.768168727598564,28.93315838122605,28.543653606630823,27.38174162037037,26.930472961469537,25.440416180555555,24.992797692652328,24.68498622311828,25.092473368794327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
