site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Kimbe Island,1035,KIMSL1,4004,9.0,Water Temperature,-5.2015,150.3778,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.83173314606741,29.793143817204303,29.493197916666663,29.31051478494624,29.08171706989248,29.1624875,29.93457190860215,30.31416527777778,30.58277956989248,30.84651545698925,29.88533258928572,30.15972782258065,30.473833449235048,30.67457217741936,30.700205277777776,29.794243077956992,28.795455779569888,28.92115965277778,29.115050672043008,29.637680625,30.485656048387096,30.376891733870966,30.18444546130953,30.082511693548387,29.997547557471268,30.06775134408602,30.11099583333333,28.991841397849463,29.24986962365592,29.656882638888888,30.16042338709677,30.0937,30.27705981182796,29.5073125,30.38079454022989,30.73078225806451,29.93580495689656,30.00258870967742,29.722470277777777,29.594734206989248,29.61936680107527,30.08854423611111,30.476538911290326,30.5267525,30.63924926075269,30.30661727150537,30.068991889880948,30.230257795698925,30.375388263888887,30.622725539568343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren Island,1041,BARRSL1,3262,9.0,Water Temperature,-23.1578,151.0707,23-031,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.22241639344262,22.609128360215056,24.15927291666667,25.243880376344087,26.166806451612903,26.54372023809524,26.85339717741936,25.063766666666663,24.371756720430103,21.515681944444445,19.05402016129032,19.74887567204301,20.80618611111112,23.14357997311828,24.43365555555556,25.22010652173913,,,,,,,19.047279411764706,19.01733225806452,20.73728013888889,22.87760504032257,25.063204722222224,27.671103897849463,27.54891102150538,27.2418140625,26.65982466397849,25.67181930555556,23.81449047085201,,,,,,,,,27.29839833333333,26.48741238799284,25.39583122685185,23.71130719086021,21.26182396713615,20.70104,20.60930633960573,22.002886273080662,,,,,27.481615570469803,27.050709926075264,24.922304844907405,22.63554729614696,21.00523567910817,19.40263095878137,19.74497443996416,20.77568455042106,22.27849612455197,24.853465486111112,25.91007883064516,26.04562515681004,27.53129203525097,26.887501478494624,24.981163425925928,23.10219823028674,20.74815303489266,19.315731429211468,19.64178702956989,21.32768289351852,22.46035393175801,24.15214273148148,26.15113082437276,27.312869556451616,26.90749359567901,25.65552650089606,24.920317060185187,23.15368469982079,21.3755381786915,20.28545031362007,20.76574305555556,22.02367800925926,23.61122111111111,25.11441715277778,26.255874238351257,27.093748655913977,26.099816503924856,25.79682822580645,25.758289421296297,23.53198658154121,22.297265347490345,,,21.271789958592134,22.66328093637993,24.92564314814815,26.747454681899644,27.945083221326165,27.23395478670635,27.64655253136201,26.231913009259262,24.350634383202102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vannessas,1078,VANSL1,3961,9.0,Water Temperature,-5.295,150.1285,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.73266103896104,30.409083911671928,,,,,,,,,,,,,29.733260588657576,29.321557638888887,29.136854166666662,28.838895833333336,28.984100694444447,29.70092002688172,30.24164375,30.777083333333334,30.90252150537635,30.47186235119048,30.552727150537635,30.48076388888889,30.366893817204303,30.26904375,29.3035873655914,28.35033445491252,28.547053808525508,28.60939459459459,29.22228194444444,30.12010483870968,30.43118548387097,30.639758928571425,30.53042069892473,30.38013218390805,30.24345564516129,30.14972013888889,28.904531586021506,29.11222916666667,29.638049305555555,30.180633736559138,30.17053333333333,30.563783602150536,30.121721102150538,30.82135201149425,31.28890456989248,30.03830840517241,29.995092338709675,29.52654104166667,29.384338575268817,29.210758602150538,29.65438340277777,30.21101599462365,30.37842805555556,30.59268904569893,30.513779099462365,30.40680543154761,30.61671404569892,30.607882291666662,30.616971116504853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.35060700123916,30.397093100358425,30.46445329301075,29.972650431034484,30.573004950716847,29.83355266203704,30.290529032258064,29.75917699074074,29.40010430107528,28.940459565412187,29.31697574074074,29.60865040322581,30.1391143287037,30.24895523255814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Reef,1098,SCOTTSL1,3988,9.0,Water Temperature,-14.0793,121.948,,BIRD ISLANDS REEF (NORTH),11167S,-11.766667,143.083333,,4U,,,,3U,,,,,4U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03676619718309,30.18947587365592,29.02148337765957,,,,,,,,,30.515658173076925,31.057345277777777,30.113869220430104,28.705844166666665,27.72812567204301,27.333916129032257,28.12841805555556,29.25205710227273,,,,,,,,,,,,,,,,,30.7330875,30.58738726851852,29.7689790523374,27.83296861111111,27.13211612903225,26.914087836021505,27.33525347222222,28.105318292682927,,,,,,,,,,,,,,,,,,,,,,,,,30.217035376602563,30.909641353046595,30.043890188172043,30.45779588293651,30.305236984767024,30.46992185185185,29.709579592293903,28.45743967592593,27.542263127240144,27.16880947580645,27.46593738425926,28.68661095430108,29.85030111111111,30.22622137096774,29.536009923835127,28.982107217261905,30.353997782258062,30.808147546296297,30.04695183691756,28.454855671296293,27.12676845878136,26.68432271505376,26.923199189814813,27.25319694010417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thetford Reef,2015,THETFL1,13535,9.0,Water Temperature,-16.7995,146.1951,16-068,THETFORD REEF,16068S,-16.808333,146.191667,,1U,2L,2L,2U,2U,2U,2L/2U,,1U,1U,1U,1L,1U,2L,2L,2L,2U,,2L,2L,,2L,2U,2U,1U,1U,2L,2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.069821689928325,25.047401759259262,24.4279124327957,24.450644332437275,25.08351391203704,25.10892018369176,26.950205439814813,28.06075203544061,29.00193418458781,29.60205610632184,29.50491933243728,28.49429949074074,27.54510940860215,26.76553708333333,25.787466106630827,24.99950116487455,25.31288592964824,,,,,,,,,,,,,,,28.60549062611807,28.844173095878137,28.997551314484127,28.505521796594984,27.57859599537037,25.95724422043011,24.424194930555554,24.344354144265235,24.730907258064512,25.099491597222222,25.82661137992832,27.33921027777778,28.21986164874552,28.441299932795697,28.872137375992065,28.58801491935484,27.565765648148147,26.396063648992826,24.628427916666663,23.58081843637993,23.68408241487456,24.38113097222222,25.476878181003585,26.52022,27.97523906810036,29.098735528673835,29.687323586309525,29.071295922939072,28.213910069444445,26.53756917562724,25.14649560185185,24.87783783602151,24.745314135304657,25.257937175925925,26.0557875,27.41821835648148,28.748778897849466,29.02483395833333,29.240075421626983,28.40129439964158,27.62498243055555,26.15843814964158,25.247082870370367,25.13535470430108,24.90846191756272,25.125050601851854,26.737656182795696,28.11403798611111,29.327067137096776
Chinaman Reef,2256,CHINAMANSL1,10876,9.0,Water Temperature,-21.9979,152.6686,22-102,CHINAMAN REEF(22102),22102S,-22.008333,152.658333,2,2L,2U,2U,2U,3L,3U,3L,2L,1U,1L/1U,1L/1U,2L,2L,,2L,2U,2L/2U,2U,2U,2U,3L,4L,3L,3U,1U/2L,1L,1L,2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.96837915244596,27.79411937260536,27.35342674731183,26.10118113425926,24.77423720878136,23.07001215277778,22.42223991935484,21.442532742960942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.40569179123385,27.382121572580647,26.54121414351852,25.19826379928316,23.81948516203704,23.101012298387097,22.513792293906807,22.642903125000004,23.67198989695341,25.387722453703702,26.449330913978496,26.821914112903222,27.252968625992064,27.24143918010753,26.48186184431137,25.40293900089605,24.01652523148148,23.09407538082437,22.38481281362007,22.436354837962966,23.28852771057348,24.69246354166667,26.32935486111111,27.17989289351852,28.508097581417623,27.89869867831541,26.717181736111115,25.21661086469534,24.015570578703706,22.638527867383512,22.095767685185184,22.6031094212963,23.691770721326165,25.37403601851852,26.601378046594984,27.18163496863799,27.42487256944444,27.478151097670253,26.36425946759259,25.08579157706093,23.85938226851852,23.01679475806452,22.32681207437276,22.44495543981481,23.696187365591395,25.430548402777774,26.363911666666667
St Crispin Reef,2689,STCRISPSL1,12421,9.0,Water Temperature,-16.0713,145.8453,16-019,AGINCOURT REEFS (NO 1),15099C,-16.05,145.858333,,2L,2L,1U,2U,2U,2L,3L,3L,3L,2L/2U,2U,3L,2L,2U,2L,2L,2U,2L,1U,1U,1U,1U,2L,1U,2L,2L,2U,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.443624153976312,27.049227569444447,25.816543413978497,24.80866618055555,23.99191202956989,23.668454525089604,24.112391018518515,24.88146001344085,26.18965490740741,27.75295546594982,28.606845654121862,28.61208439980159,28.88713900489916,27.98720555555555,26.483695362903227,25.240363425925924,24.48313590949821,24.492445340501792,25.085032407407407,25.04877822580645,26.74887023148148,27.922990924329504,28.63724036738351,29.60329901819923,29.70758012992832,28.47933743055556,27.557138261648745,26.76228222222222,25.978936357526884,25.084333109319,25.35962427536232,,,,,,,,,,,,,,,28.448628963855423,28.61583649193549,28.821619494047617,28.37835927419355,27.524410069444443,25.90453046594982,24.49567851851852,24.22087914426524,24.524867607526883,24.93995594907408,25.57545909498208,27.12227763888889,28.203580779569894,28.260912477598566,28.767314969135803,28.59977177419355,27.63289784722222,26.32359247311828,24.8546482175926,23.783152822580647,23.70800866935484,24.396278796296293,25.38102426075269,26.45981173611111,28.007697060185187,28.86667654569892,29.305273132183903,28.969209991039424,28.17689523148148,26.569082078853047,25.21185108796296,25.02031919802868,24.96736431451613,25.362192337962963,25.98613720878136,27.427524652777777,28.640615322580643,29.09885324074074,29.09938861607143,28.353310573476705,27.669338240740743,26.166760842293908,25.253554050925924,25.08059816308244,25.07474970878136,25.14340824074074,26.58799733422939,28.084782337962963,29.249929749103945
Taylor Reef,2704,TAYLORSL1,13636,9.0,Water Temperature,-17.8107,146.5716,17-064,TAYLOR REEF,17064S,-17.833333,146.55,,,,,,,,1L,,,,,,1L,,1L,,2L,,1L,,,,3L,2U,1L,,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93174837662337,28.19208239247312,27.32442513888889,25.682226971326163,24.024050925925923,23.964637186379928,24.148825,24.82346685185185,25.86917784498208,27.346850648148152,28.03564838709677,28.35127524641577,28.56260141369048,28.39335954301076,27.267666689814813,25.88448340053764,23.947026319444443,23.04592914426524,23.04751084229391,24.020990277777774,25.28964453405018,26.68487942129629,27.877624193548385,28.9393626344086,29.75537254464286,28.654288328853045,27.98364601851852,25.988633422939067,24.62282368055556,24.007275336021504,24.02133823924732,24.76217902777778,25.90140194892473,27.186383472222225,28.62285159050179,28.6613894937276,28.99603266369048,28.28590788530466,27.484152453703704,25.7824398297491,24.7267225,24.57534758064516,24.37422809139785,24.47168659722222,26.59695627240143,27.764431898148143,29.201835640681004
Helix Reef,2707,HELIXSL1,12656,9.0,Water Temperature,-18.6201,147.2976,18-076,HELIX REEF,18076S,-18.633333,147.3,1,,,2L/2U,,,2U,,,2U,3L,,3L,2U,,2L,,2U,,1L,,2L,,2L,,3L,,3U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.244654775280896,27.12836798611111,26.03817878584229,24.96647766203704,24.11584209229391,23.61559616935484,24.21325078703704,25.10014462365592,26.694098472222223,28.228674484767023,29.006356810035843,28.65697232142857,28.861161447132616,28.00332337962963,26.450275873655915,24.892381828703705,23.948018906810034,23.9688247311828,24.775386157407407,24.84927515681004,26.69208148148148,28.043966106630823,28.775397849462365,29.17871058429119,29.23434744623656,28.28326125,27.308267674731184,26.23429439814815,25.33505264336917,24.228908848566302,24.987806651718987,,,,,,,,,,,,,,,,,28.64670686274509,28.194024059139785,27.19719303240741,25.621062970430103,23.89922409722222,23.812970676523296,24.098482011648745,24.616668472222223,25.65190188172043,27.064189444444445,27.774421953405017,28.13263268369176,28.325653869047617,28.1932565188172,27.24601835648148,25.985111290322585,24.36441400462963,23.134710573476703,23.19314150985663,23.792365740740745,25.213103046594984,26.38590912037037,27.73554184587813,28.779024417562724,29.554029166666663,28.518552083333333,27.818062708333333,26.18078313172043,25.07390136815921,,,,,,,,,,,,,,,,,,
Rib Reef,743,RIBSL1,10200,9.0,Water Temperature,-18.4719,146.8788,18-032,RIB REEF,18032S,-18.483333,146.883333,,3U,3U,3U,3U,3U,3L,2L,1L,1L,1L,1L,1U,1L,1U,2L,2L,2U,1U,1L,2U,3L,3U,4U,2U,1U,1U,1L,1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.91649407294833,23.100030040322583,23.68687813620072,24.320125277777777,25.877018167562724,26.72706817129629,27.53135454749104,28.326435842293908,28.151309970238096,27.3373145056832,26.69967004629629,25.54094130824373,24.20601604166667,23.4275085797491,23.141269534050178,23.88148453703704,24.924862836021507,26.526069004629623,27.95422018369176,28.89451897401434,28.74516187996032,29.150554754601227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.64742068965517,28.15372641129032,27.21301078703704,25.570491420250896,23.78170583333333,23.66167907706093,23.879610775089603,24.514493217592594,25.54607916666667,26.89543129629629,27.72996014784946,28.222092025089605,28.25073893849206,28.22652298611111,27.23125331018519,25.76474596774193,24.001240763888887,22.892980174731186,22.993932594086026,23.70233032407408,25.1104334453405,26.35916004629629,27.52601729390681,28.73170096326165,29.325191427203062,28.33308707437276,27.795982384259258,26.02996039351852,24.269465879629628,23.76624296594982,23.592166330645163,24.16534236111111,25.367063552867386,26.717589328703703,27.97559630376344,28.189617092293908,28.440416840277774,28.01345340501792,27.50190994623656,,,,,,,,
