site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Nth Barnards (Jesse Is),1007,NBARFL1,3170,2.0,Water Temperature,-17.6722,146.1742,17-043,JESSIE-KENT REEF,17043A,-17.676667,146.175,,,1L,,,1U,,,,1U,,,,,,,,,,,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.32626061224489,24.86379611111111,27.523632930107528,29.55746388888889,29.648408870967742,30.553288844086023,30.85993526785714,29.116737029569894,28.034712777777777,25.40327673611112,23.431198055555555,23.166231586021503,23.62144744623656,24.81336486111111,26.08888245967741,27.98862006944445,28.886375940860216,30.221536155913977,28.79162366071429,29.319606653225804,27.11669388888889,26.651561491935485,23.80233159722222,21.22718993055556,22.468421706989247,24.28992493055555,26.127015658602147,27.78784881944444,29.261605443548383,29.66412083333333,29.22899669540229,27.382013709677413,26.610089166666665,24.70820073924731,23.217870972222222,22.087773924731184,21.85034690860215,24.36154923611112,26.39997278225806,28.040769166666667,29.050155913978493,28.981810685483868,28.517831398809523,28.7344375,28.05487597222222,25.6838885026738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.044562314049585,22.89752560185185,23.30406086469534,23.81582755376344,25.138475185185182,26.78549092741936,27.47188666666667,29.37204146505377,29.176857302867383,28.8363984375,28.236914695340506,27.399599398148148,25.04573093637993,22.91482691570881,22.822550694444445,23.65837757616488,24.99054569444444,26.477950336021504,28.334921157407408,28.64728181003584,28.649057370071684,28.779682390873013,28.87827482078853,27.225865925925927,25.118335707885304,22.78036618773946,22.281490972222223,22.34989744623656,23.84418363425926,25.829989336917563,27.586203912037035,28.6312333109319,29.91624372759857,29.83825227490421,29.169638978494625,28.2124125462963,25.177673835125447,23.328728032407405,22.58663053240741,23.25781258960573,24.23683020833333,26.206379345878133,27.94243222222222,29.402587119175628,28.88414728942652,29.399548015873016,28.790629211469533,27.3672900925926,25.23432580645161,23.74362700421941,,,,,,
High Island,1009,HIGHFL2,3179,2.0,Water Temperature,-17.1622,146.007,17-009,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,1,,,2L,,,1U,,,1L,,,2L,,1U,,,,,,1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.009005830258307,27.432805694444443,28.640230577956988,29.16486821236559,29.29283967911877,29.255977731481483,28.02324476851852,26.819224305555554,25.659349143518515,24.09427948599213,23.19615284498208,25.19077543981481,26.93869390681004,28.089729421296298,29.23783147401434,29.906688575268817,29.93256021825397,29.93803663194445,27.63268085648148,25.1581498655914,23.059973173868315,23.32772795698925,23.849060887096776,24.942768692632097,26.645810551075268,27.41831002314815,29.171366241039426,29.014786850358423,28.731197838950347,28.099777531362008,27.326512407407407,25.189551724910395,23.041945796407187,22.94821238799284,23.698067271505376,24.90126483796297,26.23811921741144,27.83605233796296,28.474056586021504,28.661822311827954,28.88364032738096,28.77152262097708,27.207474050925924,25.19361498655914,22.92585,22.223893518518523,22.32332446236559,23.66902074074073,25.350924513888888,26.78987891203704,27.45154218189964,28.788134027777776,28.76623644636016,28.33908629032258,27.33912016203704,24.443880062724016,22.60166895833333,22.14261835648148,23.48510071684588,24.22860481481481,25.565976980568013,,,,,,,,,,,,,,
Frankland Islands,1013,FRNKFL2,3176,2.0,Water Temperature,-17.227,146.0904,17-012,NORMANBY-MABEL REEF,17012A,-17.208333,146.083333,1,,,2L,,,1U,,,1L,,,2L,,1U,,,,,,1U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.657339595375724,30.15922056451613,29.90800739942529,28.253122379032256,27.40858465277778,25.73947856182796,24.049079791666664,23.39691545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06444554765292,27.720458773148145,25.27260499551972,23.403333310185182,23.42243373655914,23.951180689102564,24.963905184817666,26.48025103046595,27.30840118055556,29.033266621863795,29.02280705645161,28.8319820436508,28.231406586021507,27.33395828703704,25.40055112007169,23.373906874251496,23.226260618279568,23.86689666218638,24.87014800925926,26.07212674731183,27.666805787037035,28.311984341397853,28.613287701612904,28.83665533234127,28.707080622759857,27.275012916666668,25.31129063620072,23.333291921296297,22.450413382727483,22.049899633699635,,25.811815706319702,27.155803773148147,27.95694507168459,29.491513552867385,29.652085201149426,29.11611288082437,28.09686962962963,25.38751288082437,23.63698287037037,23.17085787037037,23.657531227598568,24.339954305555555,26.064570564516128,27.73707212962963,29.037339448924733,28.86059592293907,29.198325768849205,28.66103676075269,27.480068657407408,25.398584027777776,23.92883662361624,,,,,,
Peak Island,1022,PEAKFL1,3284,2.0,Water Temperature,-23.3413,150.9369,23-026,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.416376623376625,27.652807886904764,28.48335665322581,26.23330298611111,25.55618595430107,21.51778798611112,18.793316397849463,20.773330241935483,22.77355930555556,25.76797392473118,26.57958680555556,28.00306962365591,27.85834684139785,27.8899430316092,26.20480215053763,25.066761608391605,24.369244489247315,24.486313372093026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.07549979584893,20.98727618055556,19.335860640681005,20.147339000896057,21.95967425925926,23.459137768817204,26.29745791666667,27.37276406810036,27.70031827956989,28.037109051724137,27.19038252688172,25.87583701388889,24.308720833333336,21.402638819444448,19.93884079301075,20.22884372759857,22.29450969907408,24.237288261648747,26.073554375,27.35845849014337,28.28424751344086,28.696021006944445,28.13040029121864,25.00479037037037,22.92853947305389,20.93857412037037,20.96717484318997,21.453985282258063,22.59288891203704,25.16909484767025,25.22558685185185,27.246464896953405,28.52982318548388,27.74546604662698,27.048349148745523,25.294838402777778,22.93501836917563,20.408983125,19.962289896953404,20.14066821236559,21.83483615740741,24.436334498207884,26.23096756944444,26.755331630824376,27.10270512992832,27.622193154761906,27.42068525985664,25.28733805555556,23.1199418361582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Keppel Island,1026,NKEPPFL1,3208,2.0,Water Temperature,-23.0864,150.9052,23-004,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.563316292134832,27.458007068452385,28.4060500672043,26.369280625,25.670031182795697,24.37918037974684,,,,,,,,,,23.696988050314467,22.524187096774195,20.84584104166667,19.70573716397849,18.714602889784945,21.137324791666668,23.32394200268817,25.27251270833333,27.60003575268817,27.42746559139785,27.134318973214288,26.36025887096774,25.367294583333337,23.372713204951857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.363192153904187,21.32280462962963,19.84519838709677,20.399483176523297,22.000084930555555,23.369565322580645,25.921814583333333,27.15506955645161,27.642207011648743,27.99747995689655,27.28802804659498,26.01704923611112,24.60308566308244,21.885551064814816,20.585246841397847,20.416332168458784,21.97124645833333,23.89303629032258,25.77424305555555,26.998851052867384,27.882063844086023,28.7197632936508,28.25187997311828,25.16083474537037,23.14481080239521,21.438884583333333,21.42959345878136,21.807030712365595,22.639171296296297,24.743616218637992,25.21585645833333,26.92610315860216,28.22664269713262,27.48987462797619,27.059249126344085,25.425577847222225,23.30211650985663,20.823973773148147,20.490727262544805,20.59746633064516,21.85985743055556,24.02385582437276,25.95084659722222,26.59025257616488,27.050551500896056,27.53426505456349,27.18482186379928,25.50876210778443,23.156065681003582,20.77316789351852,20.03872522401433,20.22466966845878,21.67244138888889,23.79829332437276,25.4683957175926,27.21047950268817,27.961600604838708,29.24235203544061,27.116818234767024,26.11616069444444,22.93079868055556,21.294781828703705,19.877288149641576,20.419498947132617,21.77475099537037,23.735923051075268,25.64280090277777,27.11086839157706,27.1782230062724,27.610151240079364,27.72707694892473,25.549846319444445,23.84250310945273,,,,,,,
Willis Island,1032,WILLFL1,3727,2.0,Water Temperature,-16.2863,149.962,,JAGUAR REEF,18120S,-18.983333,148.425,2,,,2U,,,2U,,,2L/2U,,,,,,,,,,,,,,,,,,,2U/3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79718149466192,25.897334027777777,25.00657741935484,23.982879838709675,24.90217027777777,24.94400678763441,26.056899583333333,27.29707432795699,28.05649254032258,28.008489360119047,28.031178158602152,26.688204097222226,26.462640322580643,25.59613967181468,26.01567741935484,26.218072177419355,26.602318541666666,27.507303158602152,28.19120722222222,29.644990389784947,29.960243884408605,29.983198347701148,29.137484879032257,28.428013888888888,26.91891619623656,26.00203006944444,26.03754516129032,25.71964825268817,26.03985076388889,26.79946444892473,27.26985236966825,,,,,,,,,,,,,,,,,,27.18850414078675,26.813618055555555,26.318700716845875,25.877365591397847,26.27945147679325,27.24879549731183,27.64000863425926,28.72400152329749,28.876827307347668,28.078987524801587,28.58764220430108,28.12968844288704,26.735766375448023,25.31512974537037,25.06259910394265,24.80198897849462,24.937929212962963,26.444510080645163,27.79895891203704,28.7934267249104,29.033685887096773,28.48906137452107,28.80421606182796,27.702275046296297,27.184849395161287,25.94384469907407,25.635712051971325,25.191531877240145,25.36898516203704,26.213255846774192,26.54190371428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora Reef,1037,PANFL1,3246,2.0,Water Temperature,-18.8164,146.4341,18-051,HAVANNAH REEF,18065S,-18.85,146.541667,,,,3U,3U,2L,1L,1L,1L,1L,1L,,1U,1L,1L,1U,1L,,1L,,1L,,,,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0142635538262,24.74462849537037,23.231694578853045,22.6769665546595,24.952677846316533,26.86952148297491,27.89903261574074,29.22557861783154,30.183033915962493,29.83303954613095,30.01894312275985,27.477968779160182,24.915249479166665,22.710959259259266,22.91815465949821,23.652369018817204,24.52170223097113,,,,,,,,24.31773616607201,22.70140763888889,22.5328208781362,23.422403382616487,24.80037231481481,26.122792540322585,28.3525925,28.62609307795699,28.283343234767027,28.29647829861112,28.75048281810036,27.14386273148148,24.77878176523297,22.407301197604795,22.016050896057347,22.08457564964158,23.781272311377247,25.75829865591397,27.374046944444444,28.43664896953405,30.007251209677424,30.38388465038314,29.3400997311828,28.140139559386974,24.78590257616488,23.081446550925925,22.14822694892473,22.81293366935484,23.67002550925926,25.9722333781362,27.900310277777773,29.20702894265233,28.46273046594982,29.096678893849205,28.62819005376344,27.124143171296296,25.31469317585302,,,,,,,
Humpy Island,1039,HUMPFL1,3259,2.0,Water Temperature,-23.2162,150.9638,23-016,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.065969353327088,22.02963724537037,20.543444623655912,20.34896758512545,21.929786041666667,23.868925515232974,25.734632060185184,26.946757795698925,27.94015905017921,28.66342872023809,28.20689744623656,25.232905324074075,23.355155516014232,21.285216666666663,21.40767,21.926974193548386,22.535689999999995,24.715016129032257,24.972926666666662,26.950076666666668,28.404190322580643,27.497607142857145,26.92380322580645,25.3004,23.20359254825312,20.88571025462963,20.49120286738352,20.544343593189964,21.73706645833333,23.91910427867383,25.96468726851852,26.628425627240144,27.03115734767025,27.555101736111112,27.201890703405017,25.543057197604792,23.19620931639444,20.81803466820988,19.989058781362004,20.21087556750299,21.597015810185187,23.7530919728196,25.49270101851852,27.29012797192353,28.00105012694146,29.28934679118774,27.14564837962963,26.142058082942096,23.034774292237444,21.272736041666665,19.88284870071685,20.34652869623656,21.65161965277778,23.70570152329749,25.631300185185182,27.185459744623657,27.083063844086023,27.5418816468254,27.69554350358423,25.53183587962963,23.85933893939394,21.26714722629521,20.213766677867383,20.586976814516127,21.591685914351853,24.01091167114696,25.898325208333333,27.83259875672044
Barren Island,1041,BARRFL1,3119,2.0,Water Temperature,-23.1578,151.0707,23-031,MAST HEAD REEF,23069S,-23.541667,151.733333,,,,,,,,,,,,,,2L,,2L,,2L,,2L,,2L,,,,,,3L,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15595061826885,21.754627523148148,21.735085730286738,21.93877316308244,22.46953266203704,24.56800064964158,24.976906828703704,26.533771505376343,27.9983434811828,27.47601155753968,26.98246093189964,25.48455902777778,23.60780340501792,21.163172337962965,20.800452105734767,20.76982844982079,21.67473657407407,23.541130443548383,25.606001712962964,26.48731617383513,26.88062607526881,27.437279092261903,27.154334789426525,25.669063051643192,23.26591447819137,20.96758553240741,20.13864489247312,20.18400918458781,21.267529097222223,23.12725040322581,24.98820094907408,26.82460094086021,27.6065144937276,28.918504262452103,26.941915120967742,25.831131384976523,23.37232748858448,21.569878981481484,20.20545378584229,20.43526577060932,21.512127916666664,23.43527665770609,25.272794953703706,26.87789957437276,26.89296189516129,27.359657490079364,27.56370793010753,25.639122083333334,24.067319696969697,,,,,,,
Snapper Island North,1045,SNAPISFL1,3293,2.0,Water Temperature,-16.2924,145.4969,16-006,LOW ISLANDS REEF,16028S,-16.383333,145.566667,2,,,3L,2U,3L,2L,1U,,1U,,2L,,2U,2U,2U,,3L,,,,,,,3L,,2U,2L,2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.567553901734108,26.75689430555556,26.11839885752688,24.25577597222222,22.207499260752687,22.974399260752687,24.5984675,26.089702889784945,27.694002986111112,29.57685322580645,29.468441599462366,29.303163936781605,27.622617528735635,27.15122381944444,25.454275403225804,23.99410805555556,23.11384348118279,22.94559072580645,25.608482638888887,27.010708870967743,28.70218805555556,30.10184852150537,29.93704623655914,30.018297098214287,29.22019200268817,28.709218963831862,25.593688844086017,24.440902129629627,24.249773051075262,23.80690905017921,25.81491993055556,26.65867858422939,27.145419282407406,28.76224341397849,29.14017620967742,29.6845699156746,28.575598633512545,27.093910972222226,25.865597244623658,24.352866094316887,23.893599910394265,24.54699596774194,26.726298611111112,27.16228942652329,28.095703703703705,29.779811827956987,30.03346326164875,29.35034048784024,29.11831431451613,27.126723532407407,25.028608962813617,23.3599111986257,22.04877260304659,22.58783333333333,23.862746875,25.968469511648745,27.79942106481481,29.25080678763441,29.30587795698925,30.074423563218392,29.16540215053763,27.27512710648148,25.209375,23.572847276402683,22.161985035842296,22.74949623655914,25.03385224537037,25.697974327956988,27.622910509259256,28.83784592293907,29.40788994175628,30.273817460317463,29.2583333109319,27.67627516203704,25.605242853942656,23.90216296248132,22.88071962365592,23.967014000896057,24.7069763425926,27.269047782258063,27.80948048611111,28.54527948028674,29.122468301971328,28.64934176587301,27.99733454301075,27.448267476851854,25.655336447132616,23.825107638888888,22.58959811827957,,,,,,,29.527245310015903,29.12673707437276,28.15498738425926,26.21144534050179,24.337234953703703,23.08527878584229,23.560108086917563,25.26689865740741,25.478599865591395,27.99757216766467,29.009356586021507,29.545686559139785,29.81153139367816,29.95177511200717,28.12093780092593,26.86057233422939,25.98865853892216,24.52386745071685,23.59388642473118,25.794457291666664,27.132197356630822,28.426906574074074,29.62271467293907,30.5182710125448,29.95395267857143,30.305801456093185,27.695881782407405,25.464732056451616,23.06965055555556,23.61104119623656,24.264239807347675,24.279192543859647,,,,,,,,,,24.1478134419552,24.033059856630825,25.29950574074074,26.458013687275987,28.324301365740745,28.69333707437276,28.70044052419355,29.25793464781746,29.05094690860215,27.53147090277778,25.64709751344086,23.14403858796296,22.45521973566308,22.755020578703704,23.987865532407408,25.89920591397849,27.863968032407406,28.832108154121865,29.84221630824373,30.079897605363985,29.34467349910394,28.32281974537037,25.51494083781362,23.75767708333333,22.98384489112228,,,,,,,,,,,,,,,,,
