site,site_id,subsite,subsite_id,depth,parameter,lat,lon,gbrmpa_reef_id,REEF_NAME,REEF_ID,REEF_lat,REEF_lon,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Kimbe Island,1035,KIMFL1,4003,1,Water Temperature,-5.2015,150.3776,,MER,00085S,-9.918333,144.051667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.87054338,30.89050101,30.74554806,30.37432648,30.04080552,30.04998375,30.98656371,31.12088875,31.24693831,31.38518945,29.98724933,30.46119234,30.90213331,,,,,,,,,,,,30.23095984,30.19793011,30.34863125,29.05299462,29.42208132,29.76615625,30.36964113,30.10241042,30.24090457,29.04906922,30.43175862,30.85102755,29.97533633,,,,,,,,,,,,,29.8168901,29.46980681,28.92674247,28.84321384,28.50842438,29.1856578,29.8006734,29.72837305,28.69442574,28.44328951,28.67704691,30.16847147,30.97511992,30.92699727,30.21298127,30.26172321,30.292736,30.64260517,30.75277569,30.65692525,30.04656355,29.97599841,30.31837966,30.4011672,30.03305697,29.93227743,29.12927605,28.49939254,29.2071466,,30.72870387,30.77623127,30.30440495,29.87196882,30.37241689,29.89134065,30.46329527,30.01814773,29.70701841,29.30522025,29.61367532,30.10080818,30.66068559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heron Island,130,HERFL1,2650,1,Water Temperature,-23.4384,151.9182,23-052,WRECK ISLAND REEF,23051S,-23.333333,151.966667,2,,,2U,2U,2U/3L,3U,3L,3U,3U,3L,2U,2U,,2U,,2U,,2L,,2L,,2L,,4L,,3U,,5L,25.69836022,27.07341282,25.72825472,24.34910417,23.04351478,21.26496873,20.36206317,20.50944892,21.885625,23.18354839,24.46954633,25.9292275,26.04826613,27.58395052,26.30101478,25.04036111,23.11655242,21.71976307,20.25411486,20.41624328,22.03671528,23.03643145,23.65357639,25.58767782,27.40288331,27.41777778,26.96418011,24.77616667,23.44132392,21.90102083,20.73928043,20.30440621,21.66818056,23.72567204,23.75505556,24.83239919,26.26790323,25.86869205,,,,,,,,,,,,,,,23.86392508,21.92114236,21.03224261,21.00250672,21.95904175,23.32685215,24.81078958,26.86918009,27.68730603,28.40776332,26.93318145,25.20734236,23.19527273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.71959,21.75733616,23.20935007,25.35822829,26.80295193,28.59426402,29.16085136,28.85681554,27.36708112,25.69253582,22.58697513,20.6641929,20.64254637,20.64343078,21.08735694,21.87693347,23.36311875,24.18456855,25.56131809,25.13299479,25.74496799,25.06616778,25.42111257,22.56231514,21.38403854,21.96690249,22.88357688,24.44025907,25.36784139,26.97153633,27.85471461,27.49186961,26.05329577,25.3339118,23.8856542,22.3493977,20.99508708,20.41747551,22.22825361,23.83523401,25.5849525,27.41865071,27.20040188,27.33721024,26.37740504,25.51305185,23.26169244,22.06914532,20.53756844,21.24425355,22.58310458,23.41127654,25.17538795,26.93861185,27.21293442,27.49784911,26.66574972,25.40999899,,,,,,,,,,,26.1551831,24.78125454,22.46075621,21.21381813,20.10130423,20.46806932,21.48161021,22.63480773,25.15600321,25.3512261,26.32055655,27.40384776,26.97949143,,,,,,,,,,,,,,,,,,,,,,,,,,23.08471945,21.94113361,20.7111476,20.2497575,21.39567144,22.51690177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.72522766,24.22444194,24.6517612,26.55457577,27.36755663,27.30821347,26.65858629,25.48711079,23.53372816,21.8072319,21.66101427,21.44612115,22.05561331,23.62496793,25.15761454,25.9502709,26.79890636,27.03905615,27.2426933,25.10565914,23.49380681,21.8427781,21.42458968,21.0569486,22.30587086,23.18980016,24.94628187,26.3615368,27.48274114,28.7039679,26.90388365,26.06707959,23.33843379,22.4876649,,,,,,,,,,,,,,,,,,
Dugong Island,2297,DUGONGFL1,10921,1,Water Temperature,-10.518,143.0997,,MCSWEENEY REEF,11016S,-11.025,143.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1L,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9659958,27.71497944,28.86657601,29.15858329,29.73151961,28.98355298,28.99394778,28.1853849,26.704974,26.03034164,25.66979852,26.27782676,27.20625473,28.66092093,29.22921734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.62047825,29.51394825,29.485011,28.97193477,29.54826416,28.8830952,27.30476597,25.85761729,25.45151176,25.58365264,25.66273389,26.81427133,28.39069215,30.3182701,29.09217619,28.87022401,29.34514211,28.68906225,27.34858737,25.9873569,25.25591429,24.94149111,24.95131866,26.00562359,27.25222516,29.18176499,30.21189899,29.74530912,29.38553353,28.90180986,27.30926315,26.24968738,25.4166528,25.85855849,25.71052836,26.67548156,28.08555773,29.45487477,29.29983365,28.46828063,28.73970108,28.63358559,27.16159583,26.31223088,26.30195795,25.89808701,25.70581005,27.51287509,28.7394629,29.40058416
Small Lagoon Reef,2681,SMLLAGFL1,12395,1,Water Temperature,-21.8678,152.5239,21-572,SMALL LAGOON REEF,21572S,-21.875,152.508333,,,,,,,,,,,,,,1L,,1L,,1L,,1U,,2L,,2U,,3L,,2U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6631321,28.12514181,27.77761967,26.98964722,26.00548595,24.31162917,23.39546075,22.88117209,23.45585433,24.70732249,25.74015627,26.59632354,27.64563336,28.23750875,28.4172733,26.77900606,25.07671405,23.98854734,23.58859859,23.13656241,23.42325484,24.86238277,25.46265,26.62357704,27.55243492,27.62848921,27.46596131,26.59236206,25.09442267,23.64641796,22.93230007,22.47318759,22.73815185,24.06874196,25.68577993,26.80675515,26.93344978,27.28842165,27.44486599,26.44654713,25.17094778,23.92464602,22.98551658,22.27714299,22.48120648,23.57468394,25.06351641,26.50352375,27.06818146,,,,,,,,,,,,,,,,,,,,,,,
21-187 Reef,2687,21187FL1,12419,1,Water Temperature,-21.4072,151.6414,21-187,21187S,21187S,-21.416667,151.641667,,,,,,,,,,,,,,3U/4L,,3U,,1L,,1L,,2L,,2L,,2U,,3U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.02020438,27.19105303,26.21054863,24.74251778,23.86683799,23.05122339,23.60939863,24.86029491,25.84295544,26.84694518,27.85545383,28.38304797,28.35873324,26.82028185,25.24719019,23.75447222,23.43628031,23.38284379,23.597969,24.94156864,25.64113032,26.66152735,27.52483078,27.64105439,27.44303616,26.6710016,25.21690477,23.42990204,22.65795486,22.49848873,23.0758575,24.47140952,25.85043424,26.94386259,27.08449229,27.3457529,27.57123015,26.59668697,25.27110802,23.88027306,22.83349866,22.3700944,22.67119847,23.96477229,25.34673556,26.55946212,27.70613409,28.6907859,27.9126631,27.02444306,25.28550446,23.85980845,22.83730439,22.78202587,23.26348782,24.41957381,25.8151737,27.06375515,27.66100197,27.89166396,27.76927007,26.8224316,25.36945943,23.79168775,23.08180045,22.82193943,22.99532484,24.68872274,26.22644326,27.52321669
Horseshoe Reef,2700,HORSESHOEFL1,13295,1,Water Temperature,-22.0227,152.6166,22-104,HORSESHOE,22104S,-22.033333,152.591667,2,,3L,2U,2U,2U,2L,2L,1U,1U,1L,1L,1L,1L,1L,,1L,,1L,,1U,,2U,,2U,,1L,,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.76260421,28.00034893,28.17199819,26.61066859,25.04545455,23.89940127,23.50470869,22.95063174,23.2230006,24.62691315,25.30593331,26.43705385,27.40739021,27.48434653,27.36591617,26.50642819,25.00567563,23.6053662,22.96584276,22.42572917,22.59635468,23.80359393,25.52082613,26.61964438,26.83889554,27.26400563,27.38102995,26.42460046,25.284111,23.8754412,22.98893535,22.32939236,22.51393421,23.4270177,24.90810044,26.50856322,27.38106644,28.70462172,27.9210763,26.69045141,25.00497993,23.8672325,22.45702133,22.10165127,22.60880025,23.81259798,25.4991365,26.7149638,27.23387155,27.54901379,27.63705148,26.46535734,25.07256409,23.85588863,23.08691102,22.46644088,22.57085755,24.09927991,25.82894329,26.87088737
Farquharson Reef,2703,FARQFL1,12515,1,Water Temperature,-17.79,146.5315,17-063,FARQUHARSON REEF (NO 1),17063A,-17.783333,146.516667,,,,,,,,,,,,,,1L,,1L,,1L,,1L,,,,2L,,1U,,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.42815217,29.20195486,29.71773384,29.3067823,28.24424211,27.3013933,26.1524762,25.24891756,24.03858631,25.499095,26.71349252,27.768764,28.77768466,29.83092464,29.69042639,29.88970876,27.77165292,25.74785146,24.21052852,24.00161337,24.53766956,25.09313699,26.3017655,27.06590984,28.66413555,28.66317117,28.93048474,28.28932899,27.40810461,25.71426107,24.0290866,23.93415806,24.24137063,24.98864282,26.26425302,27.79344164,28.28565273,28.44355804,28.95641734,28.61803107,27.27343785,25.84191765,23.94560951,23.01192939,23.0759015,24.10611051,25.58489214,27.12895685,28.25610959,29.27637305,30.21630849,,,,,,,,,,,,,,,,,,,,,,
Helix Reef,2707,HELIXFL1,12557,1,Water Temperature,-18.6203,147.2958,18-076,HELIX REEF,18076S,-18.633333,147.3,1,,,2L/2U,,,2U,,,2U,3L,,3L,2U,,2L,,2U,,1L,,2L,,2L,,3L,,3U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.67123775,28.1969043,27.19679771,25.58848674,23.8775225,23.81955108,24.11528208,24.65183787,25.72499595,27.16992861,27.82592175,28.14509106,28.43311639,28.24088902,27.24295292,25.95618716,24.29488329,23.11440524,23.19930025,23.85510773,25.26148324,26.46800002,27.80609922,28.81949933,29.72000553,28.54779346,27.84441178,26.13775907,24.71784452,24.12073938,24.06694628,24.68160852,25.71542953,27.12269773,28.46008768,28.54959328,28.72953177,28.2441666,27.22364935,25.73878217,24.79900146,24.60625529,24.29587245,24.48224016,26.53028183,27.68259046,29.04738383
Boult Reef,2720,BOULTFL1,12461,1,Water Temperature,-23.747,152.2725,23-079,BOULT REEF,23079S,-23.758333,152.266667,,,,,,,,,,,,,,3U/4L,,2U,,1U,,2L,,2L,,3L,,3L,,3U,4U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54215467,23.55488569,24.25080671,25.36518118,26.31361633,26.08162966,25.89892513,25.44089824,24.02543875,22.76781627,21.47786864,21.16567251,21.88619083,22.69024935,24.60809111,26.0514304,27.12662,27.00989784,27.32152735,25.66649051,24.39404785,22.93801743,21.9564504,21.71236633,22.32353678,23.03610701,,,,,,,,,,,,,,,,,,,,,,,,24.34129432,24.46321706,25.94804171,26.96963011,26.9907753,26.87245052,26.04118352,24.3049213,22.73692944,22.1708065,21.78565781,21.99254646,23.26915712,24.42540394,25.65526884,26.53093992,27.00145682,26.98744395,25.81035694,24.4349582,22.72157775,22.10294048,21.45420397,22.358525,23.02791669,24.27024789,26.03443156,26.43450522,,,,,,,,,,,,,,,,,,,,,,,
Lagoon Reef,3460,LAGFL1,14575,1,Water Temperature,-12.3923,143.74,12-061,LAGOON REEF,12061S,-12.391667,143.741667,3,3L,2U,3L,,3L,,,,,,,2U,2U,,,,,,,,,,,,,3L,3U,3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07335565,28.55042431,29.09823712,29.08499638,28.68674388,28.09854021,26.60979124,25.2723675,24.92695226,24.96603412,25.17720759,25.87814583,27.63182535,28.66504433,28.60739884,27.90224792,28.68252168,27.87288764,27.05277897,25.64761711,24.73315945,24.42309297,24.4301035,25.33196355,26.44101455,28.2347687,29.36031425,29.00759507,28.68537677,28.29777641,27.04579026,25.83667963,25.2464983,25.15123788,25.37988211,25.95483203,27.3221285,28.49674926,28.66271577,28.38981188,27.74913497,27.36636782,26.41731987,25.2805891,25.14132672,24.71612404,24.62400799,25.15547101,,
